202,545,312,797,794,939,316,870,175,607,444,673,664,756,644,387,464,536,732,798,459,745,48,963,70,783,772,538,682,570
297,79,312,421,1000,944,730,947,6,291,985,678,487,871,331,751,64,61,33,274,441,453,953,428,844,59,475,403,709,284
79,843,794,879,830,220,410,703,477,936,910,791,145,842,294,761,3,306,354,547,481,750,814,631,424,439,584,372,245,101
176,402,939,515,590,899,135,915,904,585,613,385,471,617,732,186,531,576,665,393,493,401,916,397,422,820,816,538,759,448
218,499,35,442,830,951,450,926,190,473,672,237,664,895,185,94,547,481,632,943,643,677,457,400,480,401,581,323,116,315
663,290,867,312,715,627,373,969,987,342,162,502,481,905,594,576,862,239,143,152,493,897,769,304,773,211,821,322,192,483
150,605,122,721,24,579,137,509,171,934,237,386,517,865,935,548,384,677,212,383,295,417,856,378,191,261,343,821,192,448
169,723,778,858,213,362,910,989,748,99,73,756,662,386,774,795,149,763,685,796,980,249,645,359,836,897,27,760,330,565
663,867,415,220,532,564,648,961,1000,591,874,945,99,44,578,272,664,748,368,708,494,481,930,371,139,758,716,318,970,327
169,297,797,639,984,415,723,37,947,346,604,817,549,535,126,701,516,704,979,379,982,396,13,654,709,432,254,236,640,483
597,824,515,870,734,768,136,623,510,451,673,389,464,61,409,620,814,126,447,181,902,932,274,161,191,307,938,772,366,165
123,415,656,574,866,830,442,723,625,627,650,335,473,99,644,138,653,96,246,818,461,59,973,493,667,779,88,893,942,759
16,55,305,58,572,870,501,860,427,473,391,217,214,613,554,646,112,96,632,576,698,714,908,769,401,805,482,859,100,463
875,624,754,465,870,740,650,607,523,921,98,712,673,294,800,178,186,923,690,161,632,997,973,21,680,88,675,250,437,192
775,843,35,896,590,23,117,451,890,761,840,106,306,84,865,955,612,321,887,869,979,405,674,581,431,174,805,327,250,257
853,114,885,778,864,715,699,171,647,808,529,281,251,931,481,632,745,172,717,573,151,873,76,526,363,837,581,733,928,570
402,169,545,692,721,370,866,984,827,700,427,983,121,673,237,84,57,702,375,493,916,991,946,674,981,364,238,322,376,819
639,429,60,410,864,421,252,19,945,9,198,577,14,80,320,186,386,762,345,814,935,151,225,665,856,897,581,293,565,771
352,402,177,967,455,885,285,719,740,160,790,599,201,145,478,798,765,800,503,955,225,580,475,783,709,820,42,927,134,658
771,279,328,867,260,325,19,398,302,67,509,601,182,798,386,774,216,900,310,677,231,511,396,104,327,238,127,376,134,649
