N,edges
10000,95127
10000,94252
10000,94203
10000,94824
10000,95134
10000,94432
10000,95070
10000,94594
10000,94660
10000,94227
10000,94678
10000,94659
10000,95008
10000,94404
10000,94665
10000,94969
10000,95109
10000,94345
10000,94905
10000,94743
10000,94600
10000,94328
10000,94640
10000,95287
10000,95093
10000,94552
10000,94779
10000,94698
10000,93925
10000,94564
10000,94522
10000,94489
10000,94638
10000,94449
10000,95244
10000,93969
10000,94450
10000,94573
10000,94143
10000,94673
10000,94922
10000,94540
10000,95011
10000,94872
10000,94756
10000,94946
10000,95199
10000,94924
10000,94752
10000,94951
10000,94780
10000,94883
10000,95252
10000,94674
10000,94099
10000,95110
10000,94885
10000,94237
10000,95015
10000,94673
10000,94371
10000,94319
10000,94768
10000,95131
10000,95120
10000,94899
10000,94848
10000,94745
10000,94237
10000,94603
10000,95226
10000,94875
10000,94660
10000,94456
10000,94347
10000,94660
10000,93924
10000,94842
10000,95049
10000,94200
10000,94711
10000,93797
10000,94625
10000,94552
10000,94653
10000,94255
10000,94651
10000,95141
10000,94594
10000,94239
10000,95293
10000,94859
10000,94968
10000,95195
10000,95185
10000,95070
10000,95040
10000,95004
10000,94830
10000,95454
10000,94382
10000,94774
10000,94346
10000,94947
10000,95044
10000,94071
10000,94478
10000,94740
10000,94610
10000,95081
10000,94576
10000,94812
10000,95022
10000,94654
10000,94735
10000,94932
10000,95079
10000,95004
10000,94523
10000,94359
10000,94893
10000,94677
10000,95108
10000,94761
10000,95219
10000,94248
10000,94966
10000,95100
10000,94317
10000,94882
10000,94216
10000,94942
10000,94697
10000,94556
10000,94224
10000,94808
10000,94893
10000,94506
10000,94669
10000,94383
10000,94184
10000,94535
10000,94504
10000,95129
10000,94786
10000,94604
10000,94560
10000,94785
10000,95395
10000,95329
10000,95265
10000,94969
10000,94913
10000,94405
10000,94406
10000,94664
10000,95037
10000,94557
10000,94602
10000,94409
10000,94717
10000,94591
10000,94280
10000,94627
10000,94612
10000,94671
10000,94153
10000,94718
10000,95197
10000,94944
10000,94487
10000,94675
10000,94678
10000,94751
10000,94658
10000,94752
10000,94804
10000,94411
10000,94271
10000,94249
10000,94677
10000,94316
10000,94160
10000,94543
10000,94838
10000,95346
10000,94781
10000,94450
10000,94845
10000,94599
10000,95352
10000,94660
10000,94407
10000,94549
10000,93839
10000,94798
10000,94459
10000,94582
10000,94223
10000,95230
10000,94306
10000,94967
10000,95119
10000,94761
10000,94736
10000,94671
10000,94666
10000,94777
10000,94850
10000,94485
10000,94514
10000,94532
10000,94328
10000,94581
10000,94908
10000,94877
10000,94320
10000,94883
10000,95441
10000,94866
10000,94800
10000,94800
10000,93827
10000,94231
