N,edges
10000,24147
10000,24238
10000,24218
10000,24058
10000,23867
10000,24108
10000,24206
10000,23993
10000,23967
10000,24326
10000,24216
10000,23955
10000,24005
10000,24018
10000,24131
10000,24139
10000,24162
10000,24352
10000,24096
10000,24232
10000,24285
10000,23914
10000,24225
10000,24049
10000,24198
10000,24118
10000,24053
10000,24073
10000,24158
10000,24141
10000,24234
10000,23997
10000,23949
10000,24053
10000,23945
10000,24243
10000,24207
10000,23933
10000,24381
10000,24154
10000,24314
10000,23848
10000,24085
10000,23985
10000,24185
10000,24130
10000,24124
10000,24009
10000,24162
10000,24138
