tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	retweeted	quoted
1596519767212707840	@dobssi @BarclayBenedict Or perhaps the overwhelming evidence of immune and cardiovascular damage from COVID might explain things. Awkward.	1491356213803724807	176722129.0	1.5965085698511217e+18	['176722129', '1249654177300701186']		
1596519767317221376	Why are governments injecting cows?  Do cows die from COVID or transmit COVID?  No.  This is a WAR on meat!  Bill Gates wants everyone to eat highly processed lab grown plant base meat!  Does not sound natural or healthy because it is not healthy.	1513027129839083523	1.5130271298390835e+18	1.5965151789457777e+18			
1596519767212441602	"RT @RealJamesWoods: “Chestfeed” 

This is from an actual Department of Health. #Madness"	1587161650796306434			['78523300']	1.5965166241938145e+18	
1596519768319819784	RT @PTIofficial: Chairman PTI @ImranKhanPTI talks about successful covid policy, and steps taken by PTI in economic progress. #حقیقی_آزادی_…	864862798190436352			['127483019', '122453931']	1.5965181686208307e+18	
1596519768416485376	RT @WorkersAC: Anathi works as a early childhood assistant teacher. Because she worked in such a contagious environment last year, she got…	2314610138			['535483220']	1.5965191488504504e+18	
1596519768479084547	RT @LauraMiers: To recap, Covid has been QUIETLY maiming &amp; killing our elderly, children, and the most vulnerable among us this whole time,…	797800123			['170280910']	1.5962319541896847e+18	
1596519768688820224	@TheEcho13 Nah Covid was real. Alpha was really harsh on some people but the reaction by governments was over the top	1460272996527050753	1.127229251466326e+18	1.5963107129469542e+18	['1127229251466326016']		
1596519768957198336	RT @agent_of_change: The apartment block fire is extremely sad, and the situation regarding ongoing Covid restrictions very complex. Intere…	30998641			['36912627']	1.5965135738992108e+18	
1596519769330458624	RT @GuntherEagleman: It. Was. Never. A. Vaccine.	26498165			['1355721251180961792']	1.5965189075187794e+18	
1596519769469251585	RT @zerohedge: The Journalist-Run, Intelligence-Linked Operation That Warped British Pandemic Policy https://t.co/UuiansdqXt	27347119			['18856867']	1.5964766680502845e+18	
1596519769406337026	The only thing on a table the Chinese won't eat are the table's legs!🤣 https://t.co/rL79ZO6Tz7	1551954380102008832					1.5964649821785539e+18
1596519769603293188	"RT @AlexBerenson: Also, if you are NOT up to date on your vaccines

And you do zilch if infected 

Your chances of surviving COVID (why the…"	2402394152			['87679233']	1.5964958886369894e+18	
1596519769871900673	RT @sburke85: @DarlaShine Good friend of mine,  49 years old.  Never took a vaccine in his life or really any medication.  Lived alone, col…	240021639			['53290939', '1051129297514172416']	1.5950828120543887e+18	
1596519770051837955	"RT @backtolife_2023: New mNRA vaccine shows promise for universal flu protection
Source: CBC News: The National (Youtube) https://t.co/Bhfr…"	3305078752			['1109532876310302721']	1.5962539207241236e+18	
1596519770286948354	"@DrRan_ Bingo!...COVID never existed
https://t.co/B4NKGVy6Il"	1533261087914827777	1.430928791791018e+18		['1430928791791017986']		1.5964351920208773e+18
1596519770807218177	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1511957589382373382			['78523300']	1.5965153365722767e+18	
1596519771180535810	@killerqueen2786 @FoxNews The mask doesn't keep you from getting infection. It lowers your spreading of it. I know people who are 3-4x Vexed double masked and still got corona. Washing your hands was probably the most important thing.	1589720075145281539	1699898214.0	1.5963383402821181e+18	['1699898214', '1367531']		
1596519771281166336	@Psionpraxia @KarlRunser @ggreenwald Again, they literally changed the definition https://t.co/gvyZ0YVTry	1290093562810511362	1.0117195411504374e+18	1.5965184759876526e+18	['1011719541150437376', '1003998101642805248', '16076032']		1.5937686359310746e+18
1596519772594003968	RT @AP: Authorities in China’s Xinjiang region have opened up some neighborhoods in the capital of Urumqi after residents held extraordinar…	822618420919275521			['51241574']	1.596519650250072e+18	
1596519773319626753	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1544413942008750083			['78523300']	1.5965153365722767e+18	
1596519773751345152	RT @David__Osland: Some people are more angry with nurses for going on strike than they are with Michelle Mone for selling nurses defective…	405141464			['3407247983']	1.596149201657688e+18	
1596519773868888067	RT @michaelpbreton: I now understand that BILL 36 in BC Canada has passed. This will make COVID-19 Vaccinations MANDATORY permanently, for…	1394132538600349702			['2382229472']	1.5961965709778248e+18	
1596519774003109888	RT @Liz_Wheeler: Ontario doctors are instructed to medicate you if you don't want to take the COVID vaccine. More here: https://t.co/hBDcKu…	934055222409699328			['264361128']	1.594814516948177e+18	
1596519773709504513	Truth will out it always does https://t.co/9hU2VW3Yfz https://t.co/B1rXGCzLwG	259334222					1.5965120071631135e+18
1596519774535970822	@IDCWTNI @JoshGibber10 @therobprimo1 It’s because it’s true. The number of people who wanted control of the govt to change hands because of vaccine mandates that no longer exist is and remains to be a fringe minority. You want power? Win elections like normal people.	253138190	946737732.0	1.5965148826521108e+18	['946737732', '1888143992', '3093964978']		
1596519774867320833	"@truth_revisited What did he NOT do?

Oh, that's right.  Act like a leader to get us out of a pandemic, because he was afraid he would lose votes. People believed him.  If he had helped and encouraged from the outset...  oh, never mind..  that's the past."	514944468	9.116966406622126e+17	1.596293733535957e+18	['911696640662212609']		
1596519775416750080	RT @elizavetaka: I would like to ask you to RT this. It’s something which just happened to my 41yo friend back in LA. Healthy, dynamic pers…	173975019			['16060054']	1.596387310920405e+18	
1596519775362224128	"@MyasthenicT1D @StrangerDavy @gorskon @4_eternity_ @thereal_truther @Doctor_Eric_B @MorteSuiteVita Words.
True and false are non applicable at this juncture of your “study”
There’s evidence vaccines cause sneezes. There’s more evidence vaccines prevent disease but you’ll disregard it for your narrative.  
Claims, sure, factual? Stretch. Provide actual data or remain denied."	1481521032	1.0985155762032722e+18	1.5965178596554424e+18	['1098515576203272192', '1428029193909047302', '85227160', '1523957331977027584', '4322065997', '1433915217818357766', '1194467066473930752']		
1596519775861370881	@luton_paul @ageofadrasteia @allpartycycling Yes on an electric bike you would likely get pneumonia before you reached Marble Arch from Bromley.	132863818	862795249.0	1.5962675076727603e+18	['862795249', '1213122865819635713', '474027459']		
1596519776024727553	RT @MeetJess: “One of the most important lessons from Omicron, Delta, from this entire pandemic, is that we have to think about ‘we’, and n…	26973844			['312412918']	1.5964904821877514e+18	
1596519776951541760	"RT @EpiEllie: The tweet below shows COVID hospitalizations in Australia. 

I’ve annotated the image with what leaders around the world want…"	4170131474			['1558406653']	1.596248351221371e+18	
1596519777073520640	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1493899147			['78523300']	1.5965153365722767e+18	
1596519777144819714	When you're fully vaccinated, a double masker and still sick with Covid. https://t.co/8uyjlSigli	1588215748924776449					
1596519777799147520	"RT @Lowkey0nline: The family of 5-year old Yusuf Mahmud Nazir were told by his GP that he needed immediate hospital care. 

They ""begged an…"	1282004654977683456			['1024352074048434177']	1.5964475468301066e+18	
1596519777916583937	"American Deaths this the past 7 days 
due to Covid-19 =2238
Wear a mask 
Let’s put this plague behind us 💔❤️‍🩹❤️"	146546615					
1596519777790758912	"This SOB Is part of the problem!
And all he does is push the Establishments Agendas! 
#BoycottClooney https://t.co/Wg7pECyLBm"	1411455757					1.5962571726395802e+18
1596519778155655169	RT @jordanbpeterson: Can't the pharmaceutical companies do their own goddamn advertising?	1263278306906050562			['95092020']	1.5964838459933778e+18	
1596519778256314369	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	22318798			['78523300']	1.5965153365722767e+18	
1596519779170676738	"RT @krishanKTRS: Is it BJP’s habit to use Mothers for Politics ?
How can a man infected of Covid with Symptoms visit others ?
Madam Governo…"	149904042			['83384000']	1.5963933779098378e+18	
1596519779363614720	RT @drclairetaylor: 13/ It is absolute torture to know what Covid does to the blood vessels, to know what it does to the immune system, to…	702798563714187264			['1513942742715584520']	1.5952441200370688e+18	
1596519779917246465	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	755732278333083648			['914588454']	1.5962501084331459e+18	
1596519779921465345	RT @TomFitton: Court rejects San Diego school district's COVID vaccine mandate https://t.co/3EruGFXZbM #FoxNews	2792474373			['18266688']	1.596239833432744e+18	
1596519779879497730	RT @maxwellsmith: Right-handed people make up a majority of covid deaths.	20114045			['16405235']	1.5963499164730655e+18	
1596519780873252869	RT @leenvervaeke: Chinese netizens filling WeChat with angry messages condemning deadly fire in Urumqi (rescue possibly delayed by covid me…	3419263647			['259242107']	1.5962059466900767e+18	
1596519780940480522	RT @torqz111: Feeding my cat her last can of food today. Can anyone help me reduce risk to accidents police violence and covid by shipping…	1242808198421188615			['1448108886481907718']	1.5961804460100198e+18	
1596519781498294278	"RT @RealJamesWoods: “Chestfeed” 

This is from an actual Department of Health. #Madness"	3776062282			['78523300']	1.5965166241938145e+18	
1596519781783719941	RT @_Janey_J: Birth rates plummet in Hungary due to mass covid vaccinations. MP Dóra Dúró called it a Brutal Decline &amp; explained that a ful…	1596252081551298562			['1538833303863713796']	1.5944469457031332e+18	
1596519781578031105	@BlueJayBoo @EricMMatheny I never took a single shot, no one in my fam did. We all got Covid. It was like a bad cold or mild flu. Done in less than a week. The immune system God gave us is great.	1586308967961169921	1.5822854000385966e+18	1.5964673053028884e+18	['1582285400038596608', '2730264319']		
1596519782995865600	RT @_FairElection: People are now aware of the #Depopulation agenda of genocidal maniacs using #Covid19 scam and #DeathShots. If you still…	1011567779462328321			['1080328704272855041']	1.5965045433360097e+18	
1596519783817793536	RT @MIAuniverse: I hope all families who lost loved ones due to forced injections or suffering from permanent injuries due to forced vaccin…	29396090			['23859156']	1.58713030297097e+18	
1596519783792377856	"RT @RealJamesWoods: “Chestfeed” 

This is from an actual Department of Health. #Madness"	1518972604001898497			['78523300']	1.5965166241938145e+18	
1596519784220327941	RT @PTIofficial: Chairman PTI @ImranKhanPTI talks about successful covid policy, and steps taken by PTI in economic progress. #حقیقی_آزادی_…	1512983909050597380			['127483019', '122453931']	1.5965181686208307e+18	
1596519784484864000	"RT @R_H_Ebright: Sen. Marshall: ""[W]e are calling on.White House to join..efforts..to prevent..next pandemic by pausing viral Gain-of-Funct…"	1577519413984727040			['47791337']	1.5965189993864765e+18	
1596519784874901505	"RT @Chayenn72766251: Oh dear...
and the times when the diagnosis C was given for any kind of death seems to be over...
It says here ""unrela…"	1205327933902131201			['1377237267161489412']	1.596226822282576e+18	
1596519784774275073	Nilay searched &amp; found 32   Mortgage Rates for £200,000 over 25 years - see the deals here: https://t.co/YBQsu6zHre	57356654					
1596519784983642112	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	1525117862389719043			['337808606']	1.596242318792614e+18	
