tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	retweeted	quoted
1596509383655100417	@TheMoonCarl I've been 3x vaccinated and had covid 3 times then...	1596505385300623366	9.787325717387551e+17	1.5961597407360778e+18	['978732571738755072']		
1596509383965675523	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	1340220392816988160			['1577761560394665984']	1.596231410502738e+18	
1596509384242524161	Please wash your hands. No, I really mean it this time. I know, I know, but this is different. Everyone is now immunocompromised. Just do it please. https://t.co/RWR4kDcKSu	1593236551403589633					1.596248097365328e+18
1596509385102090243	@lord_brouhaha Good question. They should be sending it to us,annually, in reparation fir Covid.	1546393511875993600	831170912.0	1.596440275567915e+18	['831170912']		
1596509385421094912	"RT @songpinganq: For those who don't know what china's covid quarantine camps looks like.
This may help you...and you need to pay for your…"	1460740212263432205			['1374317368361447434']	1.4801575174852035e+18	
1596509385282400256	@junertcb @DiamondandSilk I've been reading antivax trash for decades.  It's all depressingly similar. Throw together scary symptoms and ignore the health improvements. I see no point in being told I'm going to be magnetic,need to have my amalgam fillings removed, and need to chelate metals from vaccines	1577887945	1242734641.0	1.5962883510403277e+18	['1242734641', '2908170952']		
1596509385467068416	RT @DennisKendel: Saskatchewan is in the N/A category. Seems our leaders don't want to share COVID data with @CPHO_Canada because they don'…	1164864823882067968			['807865098', '2314087860']	1.5964924626837463e+18	
1596509385693331456	"RT @HorangiKrong: ☀️ Be The Sun Bulacan - FREEBIES ☀️

Date: Dec. 17, 2022
Time &amp; Location: TBA
Strictly 1:1

✅ RT + Like
(show us the proo…"	1485914828942163969			['1477611148753391621']	1.5964764021778227e+18	
1596509386574532609	"RT @DrJohnB2: A 33-year-old woman.
""... persistent headaches and vomiting 10 days after receiving the booster dose (third dose) of COVID-19…"	1148285146069655554			['1400013985202704385']	1.5962143826983363e+18	
1596509387027353603	RT @Eric_Schmitt: Another tidbit from Fauci depo: In Feb ‘20 he emailed a friend advising her masks were ineffective. Confirmed again on Ma…	260294326			['101852818']	1.5961731857830707e+18	
1596509388747202566	RT @TheRealKeean: Canada's most recent COVID update shows that 80% of Canadians have yet to receive a COVID vaccine in the last six months.…	1486285291937751040			['961134787']	1.596286679387865e+18	
1596509390055407616	"RT @venkmurthy: It's a real scandal that many on #medtwitter &amp; #epitwitter essentially conspired to call this fake news.

It's been confirm…"	2063181			['25029854']	1.5950143378734449e+18	
1596509389762203649	"@AirWaterSnow You did a very poor job of Describing the conditions. Be more specific!

No rational person in 2022 drives in a “snow storm” when they can work from home. It’s dangerous and irresponsible! 

Anything more than 60mm 🌨️ per hour is Permanently off limits for FSD, Cruise &amp; Waymo ! https://t.co/RG9y4ZUFY6"	1007984186492424192	48905864.0	1.5965075682137498e+18	['48905864']		
1596509391162834944	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	1089985834999259138			['914588454']	1.5962501084331459e+18	
1596509391380828161	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	574871356			['914588454']	1.5962501084331459e+18	
1596509390848172032	"It’s #SmallBusinessSaturday. 🎈

Small businesses are the lifeblood of Illinois. But Springfield treats them like trash.

They also led Illinois’ post-pandemic job recovery. https://t.co/FtYNHi66QO"	21323251					
1596509391989387266	RT @JedediahBila: Never forget the monsters who wanted you fired for making your own health decisions. Evil disguised as charming is still…	1281968985613971456			['60680268']	1.5965090632269373e+18	
1596509392173944832	RT @Bbmorg: The allegation is that Michelle Mone secretly received £29M for lobbying Gov to pay a company to produce PPE - most of which wa…	546913956			['269997972']	1.5964921178574152e+18	
1596509392975036417	RT @MeetJess: “One of the most important lessons from Omicron, Delta, from this entire pandemic, is that we have to think about ‘we’, and n…	1429511432358539269			['312412918']	1.5964904821877514e+18	
1596509393432236033	"RT @RaggedTP: @BulfordMassive Or
3. Like so many scandals during the 'Great Covid Swindle,' the mainstream media have turned a blind eye to…"	1454797538243006465			['939673452763639811', '751043513454919685']	1.5961402779362017e+18	
1596509393478356993	RT @VABVOX: Jerome Adams is blaming Trump for his having been Trump's Surgeon General and having done NOTHING to help ANYONE throughout the…	3115972159			['138168339']	1.5961975838732698e+18	
1596509394061365250	"@MarkMcL23182550 @EricMMatheny 🤦‍♀️ yes, 97% 78% vax success rate etc is high enough to achieve herd immunity 

THIS covid ""vax"" DOESNT keep you from getting OR spreading so... 0% success rate?

It could NEVER EVER get us to herd immunity, no matter how many were vax'd

100% vaxed would not give us herd immunity"	807593498081955840	9.297345797993185e+17	1.5965047630967644e+18	['929734579799318528', '2730264319']		
1596509394396909570	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	1344225394740879360			['914588454']	1.5962501084331459e+18	
1596509394342408192	And you still focus their market more than safety? BE SERIOUS AND WATCH THE NEWS do you know currently how severe covid situation in China is? Hope for the safety deh https://t.co/613Uk68wDb	1551514004870160384					
1596509395013222400	RT @MissK1ller: I also saw that Liz Truss set up a company Matt Hancock got a pub landlord a contract we have not seen all the grubby finge…	431515838			['2391221784']	1.5962646676175954e+18	
1596509395587923968	RT @AriAmazonFeet: Do you want a black dominant girlfriend that would make love to your asshole whenever you get home from a stressful day…	1581125941442527232			['1392948626377388040']	1.59456030298488e+18	
1596509395453587457	@0xSkip The latest developments in the #G7 regarding #Covid19 scam prove that yes, knowledge is the most valuable resource but on one condition: 😀 https://t.co/nLqTtlP7w4	752491412168380416	1.4469258974167245e+18	1.5963347829626962e+18	['1446925897416724486']		
1596509396359872512	"RT @zeeonlynu94: Enjoy in Singapore na🥰

*before the COVID I will often go to Singapore 😂

#ชนชน #ZeeNuNew #MAMIxZeeNunewInSG 

 https://t.…"	1551185531438243840			['1459561568987803651']	1.596117326168232e+18	
1596509396800241665	RT @jenniferzeng97: Students in Nanjing Media College gathered to mourn victims who died during the fire in #Urumqi #Xinjiang, as well the…	552059150			['2313027666']	1.596482747702313e+18	
1596509396925747201	RT @jsolomonReports: Michigan schools tried to use COVID aid for equity consulting, vaping and motion detectors | Just The News https://t.c…	1328906802423943171			['523248016']	1.5964688538228654e+18	
