tweet_id	text	author_id	in_reply_to_user_id	mentions	retweeted	replied_to	quoted
1596423156260286464	"Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the return flight. They can't work in this critical situation. Please make a decision abt new plan and promote them in another countries.

@WayV_official
@SMTOWNGLOBAL"	704885780569673728		['1033994695595065347', '884378714']			
1596423156201590784	RT @ExcludedFighter: @innov8tor3 @CaudwellYouth @JohnDCaudwell In the eye's of the @OfficialEUA #ExcludedUK self-employed and Paye freelanc…	1108477440517656576		['1446484946294644739', '19178894', '1579418911358992384', '255965575', '1113532221451796480']	1.5963079352649032e+18		
1596423157677981697	"RT @GautengHealth: A total of 58 public vaccination sites are operational this weekend. 

All those who are still not vaccinated, the elder…"	1147027546497835011		['588587717']	1.59638914331537e+18		
1596423158751326208	RT @baroque_bitch: since this is on my mind – you don’t need to have a health condition to “justify” avoiding COVID. maintaining your healt…	1278869683119304704		['950269548766179328']	1.5962439314861302e+18		
1596423159628333056	RT @MarieNat23: “We have all around the world been told lies about natural immunity, masks, asymptomatic spread, lockdowns, about the safet…	1406554453118009345		['1541342420884938757']	1.5963988562829804e+18		
1596423159884181504	"RT @guyverhofstadt: Everyone went through the pandemic &amp; goes through the war in Ukraine. 

Ireland is the best, UK worst performer… I wond…"	298774967		['856010760']	1.5953679300275118e+18		
1596423160148238337	"RT @griptmedia: A Mayo coroner has said the death of a young boy shortly after reeceiving a Covid-19 vaccine is a matter of ""significant pu…"	397967759		['1060579035170959360']	1.596099562950652e+18		
1596423160802742272	@AnozieDavid2 @natashamutiti 🤣🤣lol , I’m kinda tired of social distancing women🤧	1554049896319180801	1.3482480234999972e+18	['1348248023499997184', '890405614840664064']		1.5961679829251072e+18	
1596423161545101312	RT @SomethingVintag: The bank accounts and all assets of every single MP who helped a company to gain a gov contract should be investigated…	2872874085		['286243309']	1.5963987364855153e+18		
1596423161695936514	"@fullhousefarms @StudentOfDrA @KimDotcom @QcZacer Well if our ""public health officials"" hadn't gone bat shit crazy vaxxing everybody they could catch without even investigating PRIOR COVID infection before vaxxing them we might well have a more definitive answer to that question.  But they did. So we don't.  I wonder why?"	2906796959	575636206.0	['575636206', '215154964', '611986351', '15896379']		1.5963526787871826e+18	
1596423162669203458	RT @rayconnolly: Just after I went into a coma in ICU with Covid in spring 2020 an Isle of Man couple got a grant from the govt to make PPE…	206829680		['19111511']	1.5958215992189747e+18		
1596423162912247808	RT @Johnpap44942928: Sounds familiar like the health advice that the mRNA COVID-19 vaccines prevents transmissions https://t.co/Tsc9pdPlka	820603167478087680		['1424367063343124487']	1.5957559641661194e+18		
1596423162756943872	@BulfordMassive @RaggedTP But if true what a scandal of the highest order, I know business for profit but ffs when countries in turmoil, profiteering in a pandemic 🧐😡	299288077	7.510435134549197e+17	['751043513454919685', '939673452763639811']		1.5961393216100966e+18	
1596423163054764032	RT @bibibiw_: Please canceled schedule in China and bring WayV back to Korea before Beijing was 100% lockdown and can't take the return fli…	2975815830		['1364092961542184965']	1.5964140652741304e+18		
1596423163516067842	"RT @tubatuprint: so there's an artist zone in the stage where the artists will sit just like the pre-pandemic award shows WE WON

and if th…"	860065572909862913		['1101699287250096128']	1.5964218390055813e+18		
1596423164183150592	White House officials urge Americans to get the COVID-19 booster shot https://t.co/wSqjXwR8MX	1098900071691767808					
1596423164996685824	RT @GordonGChang: Any ordinary regime could make the adjustments to save itself. #China’s regime, however, is boxed in by three years of #C…	618736276		['151930383']	1.5963690399028756e+18		
1596423164489531392	"RT @BigBadDenis: 🇦🇺Australia's weekly COVID numbers - 25 Nov 2022

🔸Deaths - 130 (+10)
🔸Cases - 88,212 (+8,469)

Jurisdiction / cases / dea…"	27408267		['1065397059262414848']	1.595995916590121e+18		
1596423165596823554	RT @ezralevant: Flashback: Trudeau's lockdown.	1585533228953522176		['20878297']	1.5962270682449306e+18		
