tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	replied_to
1596546683306840070	RT @thebradfordfile: Fauci gave a deposition under oath this week confirming he was lying through the entire pandemic. So naturally, the me…	984888946873327620		1.5965374492489564e+18	['3406938525']	
1596546683516596225	RT @thebradfordfile: Fauci gave a deposition under oath this week confirming he was lying through the entire pandemic. So naturally, the me…	87349949		1.5965374492489564e+18	['3406938525']	
1596546684409892867	"@Doctor_Eric_B @MorteSuiteVita For anyone interested, this paper explains the most likely mechanism for vat-induced clot formation and related adverse effects:
https://t.co/6CtQ1LDBSt"	563802166	1.4339152178183578e+18		['1433915217818357766', '1194467066473930752']	1.5958823683800474e+18
1596546684816850946	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	1495494083514667016		1.5962501084331459e+18	['914588454']	
1596546685001293830	"RT @KieronMoyles: Just a reminder about Matt Hancock.
He wasted millions giving PPE contracts to Michele Mone &amp; his pub landlord.
He sent s…"	1341529604893384708		1.5962593752319508e+18	['124461963']	
1596546685106524160	RT @Iancoll94354676: PPE is a huge scandal waiting to happen. Jenrick announced the imminent arrival of PPE from Turkey on live TV before i…	591132453		1.5964961273685197e+18	['902620050636595203']	
1596546684711886855	@jplaya15 @stayathomecome1 @BretWeinstein Right. Don’t be gullible and stop spreading lies that killed people. Why do red states with low vaccination rates have highest Covid death rates? https://t.co/NpkgR8f22F	17520249	1.5534216765069763e+18		['1553421676506976263', '1244666412167303168', '78683448']	1.596539416071344e+18
1596546685341163521	RT @ClareCraigPath: Jeremy Hunt giving us all a reminder of the political pressure the vaccine experts were put under to approve these nove…	377891308		1.5964754248714486e+18	['1302978006441492481']	
1596546685915697153	RT @JoJoFromJerz: They didn’t care when he mocked a disabled man, bragged about sexual assault, lied about a pandemic, incited an insurrect…	805526198163935232		1.596539673190359e+18	['818893114979061761']	
1596546686033108992	RT @_Janey_J: ‘In early 2020 after the lockdown, people were being admitted to hospital and dying in large numbers - I think they were bein…	791324284140580865		1.5964949489245512e+18	['1538833303863713796']	
1596546686268346370	RT @terrychristian: US Wall street financial experts pointing out brexit as the reason for the weak pound , not Covid or Ukraine https://t.…	91177425		1.596475356696961e+18	['18063173']	
1596546686414888965	@POTUS Vaccines don’t work duchbag	274774657	1.3491490969096684e+18		['1349149096909668363']	1.5961869569787167e+18
1596546686356451328	"RT @drcole12: People keep dying and the clown circus keeps trying to gaslight you. Alas.
Wake up!"	998929200345239552		1.5963037756054815e+18	['1375490702373646336']	
1596546687224655880	RT @GeorgeMonbiot: The thing is, there are plenty of genuine conspiracies going on: take the Tory PPE procurement scandal, for example. But…	347810094		1.5965300252973302e+18	['198584761']	
1596546687572795393	RT @PaulMitchell_AB: Alberta Premier Danielle Smith: “Anyone is welcome to wear a mask if they feel that that is the right choice for them,…	231071872		1.596355619619238e+18	['1069697383829651456']	
1596546687564386304	"RT @WallStreetSilv: Another massive quarantine camp is being built in China’s Guangzhou city, which can detain 70,000 people.

The Chinese…"	1518735712727838727		1.5965287233352212e+18	['1366565625401909249']	
1596546687702822913	RT @GuntherEagleman: It. Was. Never. A. Vaccine.	1588553426052550657		1.5965189075187794e+18	['1355721251180961792']	
1596546687975456770	"RT @EduEngineer: The pandemic as a smokescreen for global monetary war? A video describing a plausible scenario.

https://t.co/lv6qdsvGsT"	1524759280397787138		1.596539200806994e+18	['1169892745']	
1596546688763559936	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	79086218		1.596242318792614e+18	['337808606']	
1596546690928246784	RT @HonestTwiceFan: 4th gen and pandemic stans will slowly realize how every single relevant record in Korea was held by TWICE.	537432528		1.5965026395835924e+18	['1071075663782699009']	
1596546690982739968	RT @david_r_morgan: If you watch any video today, make it this one. Andrew Tate absolutely nails the Covid scam in 90 seconds. 👇 https://t.…	1538506270814126082		1.5959077993047654e+18	['1108431749820882947']	
1596546691083255808	RT @RealJamesWoods: Please participate in this poll if, and only if, you were vaccinated for COVID-19. Whether you had one or more boosters…	49718233		1.5965221787022991e+18	['78523300']	
1596546691515449346	RT @imhueman: These are the facts, Trump has served us horribly wrong. The death toll is climbing and he’s on sabbatical to try and re-elec…	1595918087332806656		1.2889737008809902e+18	['33622601']	
1596546691578343424	RT @docrussjackson: How the fuck can anyone get away with *secretly* receiving £29 million, while Met Police can arrest #JustStopOil member…	26887832		1.5965130214462013e+18	['2813049204']	
1596546692522074112	"RT @thevivafrei: George Clooney, proving that he is a better actor than he is a historian and critical thinker.

I would rather be smart th…"	94159436		1.5965182250968924e+18	['96906231']	
1596546692756930561	"RT @MeetJess: COVID-19 diagnosis raises risk of heart attack, stroke 

« In the week after a COVID-19 diagnosis, the risk of a first heart…"	21957559		1.5962936263168287e+18	['312412918']	
1596546692836646912	RT @AsthaRattan: The fact that things have only been getting weirder since the start of the pandemic should be reason enough to stop giving…	1072469584299474944		1.5965448748194243e+18	['3189556844']	
1596546692681187328	RT @jordanbpeterson: Can't the pharmaceutical companies do their own goddamn advertising?	2288968001		1.5964838459933778e+18	['95092020']	
1596546692912123904	RT @BrunchonTuesday: @wagatwe I stopped dating at the beginning of Covid and focused more on other relationships (family, friends).  I’ve n…	2993692074		1.5963541251340206e+18	['3873477261', '14550673']	
1596546693046177795	"RT @JustinTrudeauNo: I’m due to testify at the Emergencies Act Committee on Friday.

I think I’m getting Covid again… https://t.co/hNnThtNT…"	117741869		1.594359708122583e+18	['1525982900587360256']	
1596546693931012097	RT @RevivalCare: @BogochIsaac Here on planet Earth, we are blessed with a tool that can effectively suppress the spread of respiratory dise…	1239546809346863105		1.588544118804054e+18	['1386738793894588421', '1093695069176000512']	
1596546694690140160	RT @FoxNews: 'PANDEMIC OF VIOLENCE': Lightfoot's record on crime at the forefront of Chicago mayoral election https://t.co/tmL2Q2g3Wc	1333418814420226048		1.5965443241785426e+18	['1367531']	
1596546695051251712	RT @Derricktgoat: REMEMBER, Trudeau was put back in Office with just 20.3 % support of 27.5 million registered voters, with only 62% voting…	760249397103828992		1.5965377748779336e+18	['1195329078758391808']	
1596546695776833537	RT @joeolivermd: Kids are testing positive for Influenza + RSV at the same time. Probably also Covid. Now would be a superb time to get you…	2809095917		1.5962860168426988e+18	['1089917743275667457']	
1596546695978176512	RT @unclecrispies: Seems like I've lost a load of 'don't want to talk about SARS-CoV-2' followers and gained a few 'know that we need to ta…	391186155		1.5964283333148918e+18	['110361695']	
1596546696221450241	"RT @johnrackham82: COVID was a scam to transfer wealth from you to the WEF and its partners. 

Once you understand that, you know a lot."	1126237966429511680		1.5965050554607493e+18	['1552067520575799298']	
1596546696447754240	"RT @TeamRealityCT: ""University booster mandates are unethical because: 1) no formal risk-benefit assessment exists for this age group; 2) v…"	1518958439426363392		1.596365139900797e+18	['1232185499760185345']	
1596546697009967105	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	1436035753826406408		1.596231410502738e+18	['1577761560394665984']	
1596546697420713985	@RealJamesWoods I was in an employment field that was  ripe with COVID.   By Gods grace i never got it.	1585819861892096001	78523300.0		['78523300']	1.5965221787022991e+18
1596546697945288704	RT @michaelpbreton: I now understand that BILL 36 in BC Canada has passed. This will make COVID-19 Vaccinations MANDATORY permanently, for…	1499162128619479040		1.5961965709778248e+18	['2382229472']	
1596546698008236032	"RT @Arwenstar: “As a film maker, do you support mandatory vaccines on film sets?”

“I support mandatory vaccines. Period.”

Never forget th…"	941146289059663873		1.5962571726395802e+18	['21947445']	
1596546699040010241	"RT @IamBrookJackson: Dr. Malone: Ron Johnson’s COVID-19 Hearings Will Decimate COVID-19 Lies And Manipulation 
https://t.co/1EVlhQUDm9"	1079810672928743424		1.596387504554668e+18	['1439405246518906881']	
1596546698972889089	Candace Owens says pushing vaccines on children appears 'evil and sinister' https://t.co/kfm9BL6nsV #FoxNews	1520764519294849026				
1596546700642250752	if you're waiting on a commission from me it's gonna be delayed for a bit, i got covid from my mom (again.) and i am in a metric fuckton of pain atm so i'm taking a break until i feel ok	2738950116				
1596546701107789824	Is COVID Really Over If It Kills 400 People Day? https://t.co/T3VKFii4Sv via @YouTube	26561200			['10228272']	
