tweet_id	text	author_id	in_reply_to_user_id	replied_to	retweeted	mentions	quoted
1596335230314549248	2/ “There should be a moratorium in all vaccines that include aluminum adjuvants,” he said. “I believe that aluminum adjuvants in vaccines are dangerous and that there is no reason for them to be there other than cost. You can make vaccines that do not include aluminum adjuvants	944312919591931907	9.443129195919319e+17	1.5963352289680015e+18			
1596335231350587392	"RT @Roman_Baber: Don't blame Covid  for your or your loved ones':

- late diagnosis 
- surgery canceled 
- depression 
- child's regression…"	4408926993			1.5961271763231293e+18	['3064984647']	
1596335231631597568	I’m Covid free https://t.co/DFFtyZhcFO	128965824					
1596335233972031488	RT @lifewithlarissa: @leanne_yacyshyn @MMoutsoulas My husband died on October 11th from ALS complications. It was sudden. He still had a lo…	1513485866227884039			1.595646168750383e+18	['22691239', '714681295', '1303800646462828544']	
1596335233930231808	@EZembeck They just came by for the last Covid test and my health code is green, so as far as I’m concerned, yes. I’ll go running this afternoon.	2372014220	503933572.0	1.5963341149777592e+18		['503933572']	
1596335234643107840	RT @WashburneAlex: From 1977 influenza pandemic, it took ~40 years before a laboratory origin was widely accepted, despite being clear by 1…	37391092			1.5962172445684163e+18	['1481707872970960896']	
1596335236262289408	@ThetraitorTrump @SirGladiator @ElijahSchaffer @benshapiro Dumbass Democrats convinced their voters to take a vaccine that will harm them. Oh well, typical, democrats promise their voters something and deliver nothing but more problems. This election they convinced them they’d pay loans off but that’s not happening either. #Suckers	392841255	1.596128485864624e+18	1.5962622863476367e+18		['1596128485864624128', '70230673', '350822109', '17995040']	
1596335236576870401	@LindaDo63108329 @BohemianAtmosp1 Google peripheral neuropathy post Covid vaccine. Happy reading! Only about 40 studies confirming it. That's how I got it. Confirmed in writing from Immunologist at Covid Vaccine Safety Clinic. I must wait 2yrs to see Neurologist to be tested &amp; diagnosed, then it can be reported	1215897365204230145	3824545462.0	1.5943488464985825e+18		['3824545462', '1432116082157006853']	
1596335237620850688	RT @RealTruthSage: Covid is a vascular disease. It travels in blood. This is where blood travels in your body. https://t.co/whhppqEVIH	1335039287406968833			1.5960097801913016e+18	['1428538829288349700']	
1596335237940019201	RT @AmeliaBee7: Might be worth reminding the Dan haters that, if Morrison had done his job (the one he was elected to do) and ordered enoug…	416950760			1.5961231227253187e+18	['3071275561']	
1596335238023507968	RT @DavidLimbaugh: All these tyrants who brow-beat everyone else into not questioning “the science” on “vaccines” sure didn’t do much for t…	160803422			1.5963349916672614e+18	['179245596']	
1596335238137139201	"RT @Roman_Baber: Don't blame Covid  for your or your loved ones':

- late diagnosis 
- surgery canceled 
- depression 
- child's regression…"	1591096655742631937			1.5961271763231293e+18	['3064984647']	
1596335238271340544	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	29313455			1.596242318792614e+18	['337808606']	
1596335238472695808	RT @ShridasMeena8: Breaking: large scale protests break out in #Urumqi #XinJing #CCPChina as peoples demand an end of #covid #lockdown http…	1445574964820598790			1.5961926049574298e+18	['1443613345739776010']	
