tweet_id	text	author_id	in_reply_to_user_id	mentions	quoted	retweeted	replied_to
1596392220814610438	"@BarbequeNation 
@TV9Marathi 

@PuneTimesOnline

@ThePuneMirror

@punedaily

Sir we are bringing international musical opera in Pune city this Christmas after covid.  It will be great if you can sponsor this event. Plz contact me for more details https://t.co/J2TYOhSqls"	1474069522852171779	3069153271.0	['3069153271', '3360174258', '2390513293', '2462775674', '3839442854']			
1596392222727241728	Related: a fam member reached out to me asking why TB was popping up in their tests after having had covid (of course the doctor ignored their concerns about Covid activating it…) https://t.co/fOxbCNLVL1	14156795			1.5181810954680115e+18		
1596392225512226817	"RT @abhinandita_m: AAP candidate from Naranpura Shri Pankaj bhai Patel is reaching every home. We are small but working hard. 

This is how…"	1353722463222452226		['2205364669']		1.5961445570617713e+18	
1596392226858598400	RT @JohnRuddick2: For me, tonight’s Victorian election is a referendum: ‘do voters approve of the political response to COVID?’	3198702128		['1009022579900702721']		1.596387681608831e+18	
1596392227710070784	@LFSLLBHons @CTVNews Yes it has. I was pro-vaccine until last year. Now I feel like my trust in the system was destroyed completely. Because of the constant lying.	468464966	122280584.0	['122280584', '203123011']			1.5962548083817226e+18
1596392230092152832	"RT @disclosetv: NEW - Protests against China's zero-Covid lockdown in Guangzhou. 

https://t.co/yhVCHjgKS4"	3194058052		['15392486']		1.5960706938208297e+18	
1596392230725746688	RT @PickardJE: - the @ft today asked both Tory peer Baroness Michelle Mone and her billionaire husband Douglas Barrowman whether any UK tax…	1216304285371305985		['69080476', '18949452']		1.5962523413840118e+18	
1596392230914097153	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	2844935269		['914588454']		1.5962501084331459e+18	
1596392231719796736	"RT @RachelSmethers: Companies lucky enough to receive this VIP treatment were more than ten times more likely to win a contract. 

PPE Medp…"	1926562094		['3077557533']		1.5959238843224556e+18	
1596392231950503936	"RT @PoliBard: @abcnews Oh so you're saying the vaccine which 95% of the population has taken is basically bloody useless?

Good to know, th…"	1535852866581110784		['989620905641885696', '2768501']		1.5963121143096566e+18	
1596392232856473600	"@dont_b_crazy @hugh_mankind @RealAndyLeeShow Now you're just splitting hairs.
Fact: Justin Trudeau said ""I did not call anyone who didn't want the vaccine bad names""
Fact: Justin Trudeau did, in fact, call people who were against Covid jabs bad names.
Even if he meant a small group of people, he still called them bad names."	1541819292303466498	1638673374.0	['1638673374', '256057148', '1505640052818268161']			1.5962770875347436e+18
1596392233720197120	"RT @LouiseGrimmer: Huge congratulations to my terrific #phd student Tracy, who just submitted her thesis 🎓🎉💐

Super proud of her and all he…"	2382731677		['2587491872']		1.5963820237569516e+18	
1596392234802622464	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	1586209665121398790		['611986351']		1.5961710505467617e+18	
1596392238715916290	@EmmaGre14843150 @Warren48030052 @akheriaty What?   No.  Doctors know a lot about vaccines, it's part of their education.  -Many non-doctors know a good deal about vaccines.  Since you admittedly don't or didn't - maybe consider that you might not be the best judge of the situation here.	326436609	1.4378514444016476e+18	['1437851444401647617', '1519509606539485184', '54322957']			1.5963775090456084e+18
1596392239558582272	RT @Xqlibrium: SDSN Webinar: Origins of the COVID-19 Pandemic https://t.co/SI9KVUydCi via @YouTube This will probably ever come about becau…	2917917215		['374824801', '10228272']		1.5963885384379924e+18	
1596392239751921666	RT @RenzTom: Since #Twitter is now allowing us to post #Truth I thought I would reshare an old Substack post since it is critical and relev…	1574575218412101657		['1317304122']		1.596180654601171e+18	
1596392240015970309	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	868220326219579392		['611986351']		1.5961710505467617e+18	
1596392240838242305	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	1169877802155302917		['611986351']		1.5961710505467617e+18	
1596392241073098752	"RT @Indian_Analyzer: In Bareilly, One Muslim Man went for some Construction Work at a Home. He saw the landlord's Girl.

Afterward, He abdu…"	1138776610092355584		['1328525867501428736']		1.5961512631790715e+18	
1596392242130071558	RT @unusual_whales: JUST IN: China reports over 35,000 new daily coronavirus cases, a new all time high daily record.	635284515		['1200616796295847936']		1.596378474247508e+18	
1596392242281054210	"RT @NFSC999: Chinese woman gets breast cancer from Covid vaccine
 
I never had that before, got my third vaccine in January 2022, breast ca…"	1594966124747186176		['1513669096268726273']		1.596221891098071e+18	
1596392243161534471	RT @CanadianGirlw69: OBEY: University of California announces flu vaccine mandate for all campuses https://t.co/VTSxPWURV8	942937442570481664		['1577684377534074880']		1.5951774423225795e+18	
1596392243472240641	@LayahHeilpern Health hazards. I was well aware of the vaccine negatives prior covid. Flue vaccines doesn't work, then why should these with less testing time? I've concentrated on my natural immunity; nature, meat, steel, sun.	2939425936	455937214.0	['455937214']			1.5961360820680827e+18
1596392242595389440	"@helacopta @Mercury_Live @LayahHeilpern New version of same vaccine.

But, I'm just going off of the statement of the Deputy Director of the Vaccine Research Center.

Apparently you know more about this than he does, right? https://t.co/4ttHELv4SB"	1121060461909176321	505432602.0	['505432602', '253974701', '455937214']			1.5963914662090056e+18
1596392243950034944	RT @ShenandoahWrit1: @MichelleObama @BarackObama Pretty sure your home is that 11.75 million waterfront compound on nearly 30 acres on Mart…	3122123479		['1285395841990172672', '409486555', '813286']		1.5962629539466076e+18	
1596392244721786880	RT @RayhanAsat: It didn’t take long. The #Chinese gov announced that any individual who shares news about “the Fire in Uyghur #Urumqi city”…	51739391		['2211735352']		1.596144761735635e+18	
1596392245518913541	RT @umfn_: y’all never said shit about the flu, polio, chickenpox, MMR, or hepatitis vaccines but y’all let the media turn you schizophreni…	53235206		['320599876']		1.5963218844460687e+18	
1596392246253064193	RT @BernieSpofforth: CHINA - 100 million people now back in lockdown, QR codes turned red by the State to prevent any movement, unless it’s…	1205563697462161408		['755135678422327296']		1.5960426335535186e+18	
1596392248253775875	@vcdgf555 China has never accurately reported COVID cases so perhaps not.	1497440746055471106	1.10026633228356e+18	['1100266332283559936']			1.5963374917534474e+18
1596392248731541505	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	940128329222508545		['337808606']		1.596242318792614e+18	
1596392249344102406	@kelvmackenzie How’s about giving them what they deserve kep this country on its feet during the Pandemic MPs getting rises as are the big companies making massive profits so support the nurses turn on the money grabbers U TOOL	2148062295	3037892906.0	['3037892906']			1.5960595714368061e+18
1596392250170564608	"RT @ArneAlvarado: Pharmaceuticals made $Billions on the Vaccine...

How much do you think they will make when they start marketing the cure…"	1441114015044751366		['784808098565271552']		1.596353397590225e+18	
1596392249524654080	"#AAI #Coimbatore_International_Airport
@aaicbeairport

#Update:Arrival/Departure flight schedule for 26.11.2022
#aaicares
#WearAMask 
@AAI_Official
@AAIRHQSR 
@PIB_India
@pibchennai
@IndiGo6E
@airvistara
@airindiain
@GoFirstairways
@flyscoot
@airarabiagroup
@MoCA_GoI
@DGCAIndia https://t.co/CkvRgbLcqe"	767657414778728450		['767657414778728450', '877832878830137345', '879553112058413058', '231033118', '884660418714652672', '1467228402', '2491484208', '387573617', '124145508', '762811135', '74085917', '3619207820', '1137307520093941760']			
1596392249231052801	RT @HackedOffHugh: « In total, the Government has written off £8.7 billion worth of PPE that is unusable, has passed its expiry date, or wa…	135110897		['914588454']		1.5962501084331459e+18	
1596392251126845440	@FoxNews For shits &amp; giggles— what if masks weren’t enough to slow down Covid but they greatly reduced influenza and other viral infections that were able to reduce the stress on hospitals so that people could get treated for Covid?  And also surgery. 🤦🏻‍♀️	525784499	1367531.0	['1367531']			1.596295179870548e+18
1596392251638284288	RT @RachelSmethers: Our team @GoodLawProject battled for months to learn the identities of the lucky beneficiaries of the VIP sweepstake.…	1926562094		['3077557533', '818455148271964160']		1.5959244307352453e+18	
1596392253358211073	RT @Justaranch: Remember the Christmas holidays where families were storing their loved one in refrigerator trucks and burning bodies in ma…	770023328442621952		['779766160774443009']		1.5963552097139098e+18	
1596392253416775682	"RT @DrEliDavid: .@elonmusk, what about reinstating scientists?

🔹@rwmalonemd: co-inventor of mRNA vaccine technology
🔹@P_McCulloughMD: the…"	1518761719308374017		['801203059359678464', '44196397', '39844876', '1465347964252180493']		1.5952049593727263e+18	
1596392253811003392	RT @eyejosh: @JulianE95250219 @jeanid123 The BBC won’t mention this scandal because No 10 instructs the BBC - and No 10 knows that stealing…	21036796		['59305661', '1471933769049378827', '396011927']		1.5963150360995635e+18	
1596392254083825664	RT @manyapan: Do You Hear the People Sing, one of the most recognizable songs of Les Miserables musical is once again surfacing on Chinese…	1487269623871455233		['31029819']		1.5962205863419986e+18	
1596392254800744448	@darleingg pandemic dude… intrams couldve been fire 😭😭	1392327540958666759	9.854342895410217e+17	['985434289541021696']			1.596392138593702e+18
1596392255694471168	RT @myrabatchelder: It's heartbreaking to talk to staff who say they ended their mask mandate because of the complaints &amp; threats &amp; then he…	905937613370007553		['87358629']		1.5962908300623462e+18	
1596392255732187136	"@SB19Official ✌️Hi Liza Laxamana Mangubat
I Support the Covid19, Planet, Earth, Moon, Global, Sky Social distancing face mask I want to work together Engineering and Architecture Innovation, Medicare, Food, Forest, Farmers, Education Sciences Technology Climate Change Summit Blueprints Global"	1537951882240737280	1.0060649932828426e+18	['1006064993282842624']			1.5960184366224138e+18
1596392256248086528	RT @RobertPLewis: It seems the propaganda &amp; fear mongering may have been the only motivations for people to take it.	257097577		['41063062']		1.5963829729778934e+18	
1596392257141477376	@ndtvfeed When #China is planning to get out of #COVID19 mess ??	1572442444880400384	96900937.0	['96900937']			1.5963905611912684e+18
1596392257497636865	RT @manyapan: Do You Hear the People Sing, one of the most recognizable songs of Les Miserables musical is once again surfacing on Chinese…	875979437736472576		['31029819']		1.5962205863419986e+18	
1596392257992552449	"RT @OliviaSerraNu: A MESSAGE FOR MR MUSK 

A message for @elonmusk from my husband, David Thunder, an Irish academic who was permanently su…"	1511456580386000898		['277997312', '44196397']		1.5951331913961595e+18	
1596392259226062849	"RT @Arwenstar: “As a film maker, do you support mandatory vaccines on film sets?”

“I support mandatory vaccines. Period.”

Never forget th…"	1536222841		['21947445']		1.5962571726395802e+18	
1596392259632910336	RT @EricMMatheny: You were told if you got these vaccines you weren’t going to get covid. That the virus stops with the vaccinated. If you…	1178903348076040193		['2730264319']		1.5961510243180257e+18	
1596392260924772352	RT @DGHisham: Antimicrobial Resistance is fast becoming a serious public health threat. We need global response and stewardship to contain…	1072809360181448704		['1595149746']		1.596186946912813e+18	
1596392261075406849	"RT @nexta_tv: For the second day in a row, China has recorded an explosive increase in coronavirus infections.

In the city of Guangzhou, t…"	3219680120		['1891490382']		1.59606073928201e+18	
1596392261641678848	RT @statnews: The updated Covid-19 boosters increase people’s protection against symptomatic infection from the coronavirus, according to s…	263600564		['3290364847']		1.596297870222758e+18	
1596392261839118336	@Chesschick01 After the “2 weeks” to flatten the curve	1354202369744105478	36134346.0	['36134346']			1.596216988145025e+18
1596392261956222977	RT @akheriaty: Chinese are rising up against the biomedical security state.	1419080182153965569		['54322957']		1.596327119885566e+18	
1596392263508439042	RT @TomJumboGrumbo: If you’ve been thinking about adopting an NYCACC dog, do it now. @ElayneBoosler and Tails of Joy are offering a generou…	1222389665719816197		['798054644853407744', '79031518']		1.595619477756203e+18	
1596392264099540992	An oldie but not a goodie. Most of us have been infected once. Mask up and do everything you can to not get it again. https://t.co/g8VzaoH9Xi	1488875970547257345			1.3968585303347978e+18		
1596392264984858629	"RT @LeeCamp: For the details about Congress' pandemic insider trading and more, check out my livestream - 
https://t.co/jUoewx1hOX"	16601566		['19580890']		1.595769364162175e+18	
