tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	retweeted	quoted
1596300809431486464	@PMalinauskasMP @DanielAndrewsMP @VictorianLabor How about you try to do same here by revoking covid changes ,mandating masks and isolation when sick.	2929040544	9.842092555268751e+17	1.5962776181016084e+18	['984209255526875136', '228535666', '147851593']		
1596300809582432256	yself, and you shall wash your hands and brush your      #世界杯外围 #世界杯直播 #世界杯投注 #世界杯买球  https://t.co/r4Vj7AQ9o3	695907314877001729					
1596300810832314368	RT @CraftyMermista: The amount of people who don't believe masks work at this point in the pandemic is evidence of the complete failure of…	1302871428501364736			['1473524545524957188']	1.596297181748945e+18	
1596300811604471813	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	879046592120205313			['806344552718045184']	1.5962870273011876e+18	
1596300812145537024	RT @supertanskiii: Michelle, I’m torn. Which is the best shade of lipstick to wear when (allegedly) pocketing £29m of taxpayers money for f…	66625163			['2732180892']	1.596152549840937e+18	
1596300812174909441	The influenza universe in an mRNA vaccine | Science https://t.co/6BeHQlJcZA	1228101304167403520					
1596300812820664320	RT @nytimes: Ten people were killed and nine injured after a fire broke out in a high-rise apartment building in the Xinjiang region of Chi…	1143256193001033734			['807095']	1.5961001687340605e+18	
1596300813135126531	RT @BBCNews: Universal flu vaccine could counter future pandemic https://t.co/QkM4uSemNL	433376178			['612473']	1.5960304975655977e+18	
1596300813361717248	RT @explosivetoes: POV: you come home from work to me under the tree ready for you to stuff my holes https://t.co/QN9MxgPPID	1103528586303152128			['1036651161904996355']	1.5962408128616858e+18	
1596300815035428864	"RT @WallStreetSilv: A new quarantine camp is being built in China's Guangzhou city and designed to detain 87,000 people. 

If authorities s…"	1049102543350128641			['1366565625401909249']	1.5958062644869448e+18	
1596300815987511299	What we’ve all known, but what the left who praised fascist COVID control won’t follow up on or advertise: lockdowns only delay the pandemic https://t.co/wO3LXdhA3d	1518914731523911680					1.5960163427881042e+18
1596300816310206464	RT @ChristinaPushaw: Fauci, and most of the US “public health expert” class, thought China did Covid lockdowns right and should be a model…	1247904446			['31667539']	1.5962872689392394e+18	
1596300816721514496	RT @JonathanTurley: ...These companies were fine with Twitter censoring free speech and blocking stories like the Hunter Biden laptop scand…	74644440			['94784682']	1.5962733268756316e+18	
1596300817140781056	"RT @david_r_morgan: Tom Hanks says he ""doesn't respect"" anyone that doesn't wear a mask. Well I don't respect anyone that's been to Epstein…"	1584974983809433641			['1108431749820882947']	1.5951708042868204e+18	
1596300817082232833	RT @michaelpbreton: I now understand that BILL 36 in BC Canada has passed. This will make COVID-19 Vaccinations MANDATORY permanently, for…	2973604683			['2382229472']	1.5961965709778248e+18	
