tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	quoted	retweeted
1596346290559848449	"@JessicaBanner13 @POTUS I have gotten all vaccinations and boosters from day one...

I just tested positive for COVID-19 for the 2nd time!

I remember when Dr Fauci said 'get your shots and you won't get COVID-19 then he said 'it's that simple people!'

I also remember when he said masks don't work! https://t.co/y1JnjmMnhb"	798073904644243457	1.0385475662777098e+18	1.5962210801377976e+18	['1038547566277709824', '1349149096909668363']		
1596346291126435840	Like I said before I've been coming here every November for ten plus years but this is the first year since COVID hit and also coincides with my hyperfixation on specialty coffee lol https://t.co/E0tNWzmwqT	3427136679				1.5963410244982743e+18	
1596346292174831616	"@RobSchneider It has absolutely nothing to do with the fact that this kind of fascist control exponentially increases their coercive power. just like Covid, and all other apocalyptic narratives..

It is concern for the lives of our great-great-grandchildren! 🙏"	1590103270290243584	1.5901032702902436e+18	1.5963451830582313e+18	['90552683']		
1596346294171496448	"@NickyFrank30 @chithanh_ Plenty of people believe, precisely because its not nonsense. 
Did you tweet about your long Covid diagnosis back in July?"	1367842325444104197	6355882.0	1.5956587007858442e+18	['6355882', '227492126']		
1596346294364250113	RT @ReginaPosterBoy: A mob of yahoos storming Ottawa in big rigs to set up bouncy castles &amp; hot tubs while stealing food from the homeless,…	293684769			['308886629']		1.5962247249248297e+18
1596346294741897217	RT @PaulMitchell_AB: If they lied about Covid, masks and vaccines, what makes you think they're telling the truth about digital ID, Central…	802248488			['1069697383829651456']		1.5955315562524467e+18
1596346294812913664	Apparently everyone has Covid again.	278295454					
1596346295454552064	Beijing on edge as metropolis provides new quarantine facilities – ENM NEWS https://t.co/Ips9CmSVxV	713523037560111105					
1596346297409482752	RT @NFSC999: A woman in Guangdong province, China, who was diagnosed with acute leukemia after her third dose of SINOVAC vaccine, realized…	1594730065903788034			['1513669096268726273']		1.5962425622010552e+18
1596346298084773890	RT @DarnelSugarfoo: Eventually they're going to have to try this here. This is why Biden and other leaders want to restrict firearms, no ot…	1427320507792171034			['936238338356404224']		1.5963410682152018e+18
1596346298428698624	"RT @WallStreetSilv: Chinese citizens are revolting against the new COVID lockdown and clash with COVID police ...

🔊sound ...🔥🔥🔥 https://t.…"	883442577692872704			['1366565625401909249']		1.5962834671969485e+18
1596346298550353921	Morticians increasingly report strange blood clots in bodies following COVID shot rollout - LifeSite https://t.co/m5N3OmneX5	160310442					
1596346300152578048	@NotAHoax @BCarfree Surgical and cloth masks are about useless. Unless its a properly worn fit tested N95 its about useless, too. And why, for a virus that for most people is a akin to a cold? Why get so hysterical over the sniffles when we have meds that can lessen symptoms?	922291946	1.5612113356097618e+18	1.5963449241608192e+18	['1561211335609761792', '1061113260601032704']		
1596346301779791878	@AndyBxxx How's the vaccine situation there? I feel like everyone is probably fully vaxxed, right?	1461894889537421316	23499976.0	1.5963458779245773e+18	['23499976']		
1596346304732737536	"RT @MyBoxerLuvMac1: 💔Moon💔
#NYCACC #157460 5y
▪️To Be Killed: 11/29💉
▪️Pneumonia-Listen!
▪️Can be killed anytime if cond worsens!
Rescued f…"	1924302038			['1214648962491269125']		1.596233582804091e+18
1596346304740859905	RT @DailyCaller: Tucker never holds back https://t.co/a66xhfuKgo	1518806234350166017			['39308549']		1.596342985461207e+18
1596346304808222720	RT @EddyJokovich: Lockdowns ended in Melbourne and Sydney at the same time in October 2021 – over a year ago – and Sydney had more lockdown…	478493459			['29420301']		1.5963218756130857e+18
1596346305080692738	@80kae @NancyDa91542471 Covid and Fauci!	815031060303970304	1358403085.0	1.596303786292781e+18	['1358403085', '1470417565847592966']		
1596346304992804866	"@AnNe52260056 @jessicapidan ... researchers in the US that are horrified about the number of people falling dead every day.

Problem is that this effects take anywhere from 2 months to years to show up. So people just don't ""connect"" the COVID-19 flu-like symptoms to the actual death or disability..."	180041704	180041704.0	1.596345702162043e+18	['1575139804723003393', '1424421924629729282']		
1596346306204643328	"RT @Roman_Baber: Don't blame Covid  for your or your loved ones':

- late diagnosis 
- surgery canceled 
- depression 
- child's regression…"	19160779			['3064984647']		1.5961271763231293e+18
1596346308066934784	RT @72powpow: 🇨🇳 - 100 million people now back in lockdown https://t.co/l4tvLOdEvL	3305078752			['1480068057447821313']		1.596250355687256e+18
1596346307752259584	"Zero Covid in China is chaos with no exit path. More are blaming restrictions – not the virus itself – on death/tragedy. 
Locked down soccer fans watch the World Cup &amp; see maskless fans. They ask: is China on the same planet?
My report with @Nectar_Gan 

https://t.co/qGPf68bRRi"	853669477			['839227825']		
1596346308985753600	RT @KimDotcom: If the data from the @Pfizer human trials of the Covid vaccine was fraudulent then all immunity agreements are null and void…	1171528543148244995			['611986351', '56488059']		1.59593439669112e+18
1596346310063718400	"RT @Eric_Schmitt: In the Fauci depo this week the court reporter sneezed. Fauci wanted her to wear a mask

This is the mentality in Nov 202…"	17693831			['101852818']		1.596193593785475e+18
1596346309925302273	@without_on @Martyupnorth_2 @atRachelGilmore The misinformation was that the new vax was “safe and effective” but not enough for Pharma to take liability for injuries (with same companies have long records of lawsuits &amp; paying for lying/corruption/injuries) &amp; that it stopped ppl from getting &amp; spreading covid. All lies.	1049191829374210049	1.327094117076267e+18	1.59624852488636e+18	['1327094117076267010', '1453726315492700160', '1107296448']		
1596346310549905408	@trexbuffet @navneetonlyme @GabbbarSingh 50 lakh people died from lack of oxygen during covid. The assh0le literally left us on god’s mercy during that time and laid waste our economy. Why don’t you post data to support your arguments	1470169625660903424	1.3323263119649915e+18	1.596321647635882e+18	['1332326311964991489', '116693519', '108391251']		
1596346311418458112	"RT @zoeharcombe: The origin of SARS-CoV-2 matters. A lot. 
We need to fully understand what happened to ensure it doesn't happen again.
htt…"	2740443167			['30623732']		1.5960871968132628e+18
1596346314073067520	RT @BBolander: walgreens vaccine webpage giving me fucking riddles when all i want is a booster https://t.co/TqP6Caqqkh	1131015809747173376			['84966500']		1.5962159150788977e+18
1596346314237022208	RT @TheRickyDavila: What I find fascinating about Hunter Biden is that slumlord Jared Kushner was paid $2B for selling them intel whilst al…	1295414367517839366			['341190477']		1.596239080152408e+18
1596346315575029762	RT @Sheepdogwatch: Whether left or the right want to admit it, the only reason that this has not happen here in America is because of our s…	4268670137			['2848334122']		1.5962556457829335e+18
1596346317030436864	"Remember, everyone, it was the virus that did all of this! Not the government and ""experts"" and their policies! https://t.co/G5uyZWc1TQ"	47539455				1.5963168565702328e+18	
1596346317357613056	"RT @digismartplanet: ""the findings add to a heavy body of evidence telling us that socio-economic inequality in education – already entrenc…"	1223323694			['1128420492']		1.5960836002017812e+18
1596346319446347776	"@abcnews They need to lock down.
With this huge a population in one of the most highly densely populated on earth.
Cases ,if no lockdown, means ,70000 cases alone just in Beijing 30 death daily at peak and 300000 long Covid.
Transpose country wide 7 million long Covid

550 daily death"	1320149630642909184	2768501.0	1.596339970939056e+18	['2768501']		
1596346319643238400	"RT @songpinganq: CHINA 🇨🇳, Chongqing city

Tens of thousands people taking to the streets to demand lift lockdown today. https://t.co/RBI8D…"	1445951341688467461			['1374317368361447434']		1.596174853266342e+18
1596346320415248384	"@BronzeTalos @gorskon Surgeon General of Florida sounds alarm on the dangers of covid vaccines
https://t.co/SYzPayIWT9"	1558435127239352326	1.5584351272393523e+18	1.5963462056632648e+18	['886261468257292293', '85227160']		
1596346321962733569	"RT @AGHuff: 💰BILLION DOLLAR LAWSUIT💰

👨🏼‍🔬COVID’s ORIGIN👨🏼‍🔬

Hint: It came from a lab. 

https://t.co/hKkQBcP8iY"	1018287447925493761			['1453047454677491718']		1.5963095177712804e+18
1596346321405083648	RT @DrewPavlou: Innocent Uyghur families burned to death today because China’s insane COVID Zero policies meant all exits to their apartmen…	1160844866059849728			['1133510366422392833']		1.5963115729260503e+18
1596346322654986241	RT @Rajeshmadaan329: ◆ In Corona epidemic, ration kits, life-useful materials etc. were distributed among needy people by Shri Yoga Vedanta…	1491085022513680387			['823242548814692353']		1.5963305517151068e+18
1596346323162259457	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	29408569			['28197128']		1.5962430017347502e+18
1596346323569348609	RT @Eric_Schmitt: Another tidbit from Fauci depo: In Feb ‘20 he emailed a friend advising her masks were ineffective. Confirmed again on Ma…	1586132216907800576			['101852818']		1.5961731857830707e+18
1596346323724570624	RT @EricMMatheny: Despite readily available video evidence, I’m shocked that people still deny that they were told: if you get the vaccine,…	840730920			['2730264319']		1.5962629977896387e+18
1596346323766476801	"@SParnis Then there’s this one from the 70s.

https://t.co/5EYXkMMeNr"	1547373076538486785	1.5473730765384868e+18	1.5963459615506022e+18	['961299362']		
1596346323649073152	Promote it on @NFTsSaga https://t.co/OCQsDpWPt9	1585169399190724608			['1165964937291882497']		
1596346326366945280	RT @ThisIsWenhao: So after a night of street protests and online unrest, Urumqi government suddenly declared this morning that they have ac…	1324293414			['206735419']		1.5963303560763392e+18
1596346329550458881	RT @jeffrosenfeld5: @DoctorHenryCT to Repubs/GOP-had trump told his worshipers to wear a mask and if he had worn one as a role model for ou…	710882693			['1361007719189250055', '2385660031']		1.5963139544936325e+18
1596346329592045568	RT @CrabbBrendan: Omicron continues its enormous toll; 18,671 deaths (17.0%) more than the baseline ave to Aug 31. Actuaries will refine do…	1439740506			['2341433004']		1.596253183302828e+18
1596346330577715200	"RT @hugh_mankind: Australia Quietly Recommends AGAINST ""Updated"" C19 Vaccines

Health Minister Mark Butler said the Australian Advisory Gro…"	610451596			['256057148']		1.5958830924719555e+18
1596346330586107905	"@BobbyPerma @uglyfeetwalking @WhiteyMackinaw @SethDillon No, it's not. 
I just believe that scientific advancements are not exclusive to 8K TV's and self-driving cars. 
Why is it so hard to accept that medicine improves as well?
People: We need a vaccine to combat the contagion!
Science: Here it is.
People: You can't trust the science!"	31510136	1.5871820126742282e+18	1.5963188297598607e+18	['1587182012674228224', '1244988921550761984', '1588737819844886528', '31700619']		
1596346332792295425	RT @Windoctorx: What was the rush to wheel out a vaccine for a virus that carries a 99.7% survival rate in the first place?	1569550014539767810			['909879719734251521']		1.5962996648899707e+18
1596346334713614337	"RT @Kevin_Maguire: Matt Hancock will view making the last four of I’m a Celeb a success.

Until the Covid inquiry…"	786266152335015940			['60886384']		1.596264785435312e+18
1596346334713462790	@nathaliejacoby1 Yep. I have avoided getting covid this whole time and I wouldn't want to get it now.	1589406806325051397	1.2804787318748488e+18	1.5962491281406812e+18	['1280478731874848769']		
1596346334940135424	RT @The_OtherET: I love how in his deposition Fauci regularly used the excuse that he was “too busy” running the NIH to be bothered with co…	701777076391514112			['77911392']		1.596164627376767e+18
1596346335237910528	RT @Eric_Schmitt: Another tidbit from Fauci depo: In Feb ‘20 he emailed a friend advising her masks were ineffective. Confirmed again on Ma…	76010713			['101852818']		1.5961731857830707e+18
1596346336345223168	"@LayahHeilpern 2.Researched coronavirus. 
3. Researched mRNA vaccines. 
4. It having to be refrigerated until injected told me there was something ALIVE!
5.I knew BillGates was evil. 
6.”The entire population of the world”needed to get it. 
7. 2 weeks was a lie. 

1.INFOWARS
#COVIDLiesMatter"	738469772770168832	455937214.0	1.5961360820680827e+18	['455937214']		
1596346336789553152	RT @RandySTG: React dev for 60K? Loooool jah jah	738720052132872192			['99839908']		1.5963422954353172e+18
1596346337942970369	RT @haveigotnews: As I’m a Celeb! Is rocked by a Covid outbreak, Matt Hancock says he knows someone who can source PPE for just 29 million…	1278012069976080390			['125370749']		1.596112656355795e+18
1596346338282962944	RT @Xx17965797N: Study Finds Number of Athletes Who Have ‘Died Suddenly’ Has Increased by 1700% Since COVID Vaccination Began. Full List of…	1489768980780765188			['1552407495255199745']		1.595841581701124e+18
1596346338941206528	"@ArguriusGC 5 Cheap Ways to Make Money Online https://t.co/wU84DfZwgV via @EarnsmoreMoney 

#careers #earnmoney #earnmoneyonline #DigitalMarketing #BloggingTips #writing #copywriting #WorkFromHome #growthmindset"	1489486709989511171	1.3695648912337428e+18	1.5949350879464366e+18	['1369564891233742850', '1489486709989511171']		
1596346340342390784	@MarcTennant The aged care I visit up until relatively recently had mandatory RATs, N95 &amp; shields. Then it became RATs every 3 days &amp; blue surgical masks. I wasn’t there last week, wondering if the increase in numbers will force them to re-evaluate🤔🤔🤔	1187667972682211328	2180874848.0	1.59627217217502e+18	['2180874848']		
1596346340841512961	"RT @WhiteHouse: We all have to do our part to ensure a safe, healthy, and happy holiday season.

Get the updated COVID vaccine: https://t.c…"	981670711			['1323730225067339784']		1.596232279562625e+18
1596346341277732864	RT @PierreKory: More vaccine commercials masquerading as news stories. They will never stop. Only good thing is how many people can spot th…	1426301028752936963			['2163723997']		1.5961443547748884e+18
1596346341801996289	@UScrimeReview @NEOrganics Ya in British Columbia Canada today, the government passed a new bill that makes it mandatory for any health care worker to be vaccinated with the covid shot permanently and forever and whatever new vaccines they decide. And we already have staff shortage here. Appalling.	18494692	7.326127950788444e+17	1.5962107439003116e+18	['732612795078844416', '437911103']		
1596346342712184832	@ColetteMandin If u had asthma like I do u would get it. I can’t fucking breathe with a mask . Btw I’ve never had Covid and no mask	1351992518288822272	636649732.0	1.596153334725251e+18	['636649732']		
1596346344264065024	@dd_chip @BasedSocrates42 @EricMMatheny There is no way you could possibly know that the vaccine helped you unless you’d gotten covid before you were vaccinated and have a basis for your comparison.	1345195307353722882	1.0858737235913482e+18	1.5963162483331727e+18	['1085873723591348230', '1446175116996526087', '2730264319']		
1596346344129515521	"RT @fitterhappierAJ: Well, looks like they are acknowledging the immunological harm that SARS Cov 2 does

I told you all long ago, many tim…"	15677734			['88589013']		1.5962063842444698e+18
1596346344607817729	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	325268721			['806344552718045184']		1.5962870273011876e+18
1596346345098313729	work email, reminder to stop by the dry-cleaners on his way home from work, work email, missed call from Wilbur, work email, text from his boss, more emails…	1556630198195560454					
1596346345962745856	"Still traumatized from that one time I got covid and almost died in April 2020 when I hadn't left the house at all since before the ""Lockdown"" thinking it was just the flu/ a bad cold and it took me damn near 6 months to recover."	65495016	65495016.0	1.5963452552255898e+18			
1596346346209845248	"@HouseGOP @RepJamesComer Fouchie 1st
...
Televise the hearings
...
Already lied to Congress bout Covid coming from a bat cave
...
Clot shot Genocidial Murderer"	1596230916233342976	15207668.0	1.5962531401556541e+18	['15207668', '1274852794206388225']		
1596346348219121666	RT @JonathanTurley: ...These companies were fine with Twitter censoring free speech and blocking stories like the Hunter Biden laptop scand…	345405875			['94784682']		1.5962733268756316e+18
1596346348718039040	The way the Chinese authorities are acting, you'd think Covid is airborne Ebola. https://t.co/UjN9cyh8IE	1346581234634395648				1.5957942308696433e+18	
1596346348676075520	RT @creamybanana02: CNN is posting fake news as always. The building had the fire accident was not blocked by covid measures, people living…	1406910114154508288			['1405689495903772672']		1.5962421186114478e+18
1596346349318189056	"@AlexBerenson @pfizer We have. Covid, stress on medical systems, and delayed diagnosis.

Vaccines are inversely correlated with excess mortality.https://t.co/LTYDaDejNI"	5608632	87679233.0	1.5959952203276861e+18	['87679233', '56488059']		
1596346351323054080	RT @dtbyler: Overview of tragedy &amp; mass protest unfolding in Urumchi. As many as 44 Uyghur children &amp; parents died in a fire unaddressed fo…	732818789742546944			['354125622']		1.596217968618537e+18
1596346352266801152	CALEB MARTIN LOCKDOWN DEFENSE	1058986226					
1596346353642541056	RT @Chesschick01: .@Cobratate is absolutely right here about the covid scam. They destroyed lives and turned the average American into an a…	3185561035			['36134346', '333357345']		1.596182612070273e+18
1596346354426445826	"https://t.co/8kSkoSk71J
Covid problems for pregnant women https://t.co/VMUNUFGal2"	985173084565983232					
1596346357065089025	@SkyNewsAust Your another ideot his covid stance was the best in the nation	1652062122	16834659.0	1.596087694794576e+18	['16834659']		
1596346357757153280	"RT @badiucao: Thread/1

Massive protest happened in Ulumuqi，Xinjiang，China after more than 100 days zero-covid city lockdown.

People are c…"	104208920			['267695291']		1.5962472807129825e+18
1596346357908123648	RT @michaelpbreton: I now understand that BILL 36 in BC Canada has passed. This will make COVID-19 Vaccinations MANDATORY permanently, for…	1518698237711949825			['2382229472']		1.5961965709778248e+18
