tweet_id	text	author_id	in_reply_to_user_id	quoted	replied_to	mentions	retweeted
1596548055435804673	@Hippasus8 By the 19th century, in parts of the west, 'honour' meant more than maintaining a repetitional shield (or at least, in a marketplace of non-kin relationships, the reputation that mattered was not the same). https://t.co/T8Sil27BBv	2170978105	1.453604506772648e+18	1.5128651797715804e+18	1.5962318908305244e+18	['1453604506772647936']	
1596548056908206081	"RT @NewMillPaul: Did I tell you about the time my son failed his driving test for the second time?

He was really upset, so trying to be a…"	492476585				['1160306562663165962']	1.5958698356233748e+18
1596548057965170689	RT @jordanbpeterson: Can't the pharmaceutical companies do their own goddamn advertising?	2393315544				['95092020']	1.5964838459933778e+18
1596548058195501056	RT @JoJoFromJerz: They didn’t care when he mocked a disabled man, bragged about sexual assault, lied about a pandemic, incited an insurrect…	971910522248548354				['818893114979061761']	1.596539673190359e+18
1596548058761814016	RT @JoJoFromJerz: They didn’t care when he mocked a disabled man, bragged about sexual assault, lied about a pandemic, incited an insurrect…	58463153				['818893114979061761']	1.596539673190359e+18
1596548059349278720	RT @_Janey_J: ‘In early 2020 after the lockdown, people were being admitted to hospital and dying in large numbers - I think they were bein…	1164012938639880192				['1538833303863713796']	1.5964949489245512e+18
1596548060129202176	@ABC How many people died this week from the Covid vaccine. Answer that Joe	1541456116235882498	28785486.0		1.596344745562968e+18	['28785486']	
1596548060154253314	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1518736189485891585				['78523300']	1.5965153365722767e+18
1596548061026816000	"RT @Salman91739330: #countfullmarksforall

@MNBUrdu 
@MNBUrdu 

Pmc walo ny COVID-19 me salary full li thi or marks full accept nahi kr rah…"	1596543253221867520				['1593073608745787392', '1482798130550738945', '1482798130550738945']	1.5965429190030623e+18
1596548060968284162	@DiedSuddenly_ @AwakeCanada22 did no one inform them that their vaccine failed?	924544385877970944	1.577761560394666e+18		1.596231410502738e+18	['1577761560394665984', '1250139090487558144']	
1596548061031198720	China orders lockdowns, mass testing after record COVID surge https://t.co/htUn2fn6uf	748080476					
1596548062968700928	"RT @KimDotcom: The vaccines now kill more people than Covid? Look at the EU death numbers for the last 5 months:

155,343 above average dea…"	1207666161044873218				['611986351']	1.5959232960881009e+18
1596548063446941696	@AndrewMBlake @svetlanathon My city had a maker space (mostly woodwork devoted but with hopes of growth) but it didn’t survive the early COVID years. I’m sad	3942312555	1735621393.0		1.5963674876159795e+18	['1735621393', '26161564']	
1596548064155951104	"RT @TWenseleers: ""Highest protection against omicron infection was observed in adolescents with vaxx &amp; previous omicron infection, reaching…"	1244242864953008129				['3300787924']	1.5964493936744448e+18
1596548064155766786	@AWPNHS @BetterHealthNHS My mental health is pretty bad as a result of having been gaslit by AMPH social workers  bullied and harassed.	1576157880914436096	563967892.0		1.596546833362391e+18	['563967892', '4785156862']	
1596548064692637696	RT @Martyupnorth_2: The fact that so many think that discrimination is acceptable as long as the group being discriminated against is small…	3686457075				['1453726315492700160']	1.5965457367618232e+18
1596548065355522048	RT @RealJamesWoods: Please participate in this poll if, and only if, you were vaccinated for COVID-19. Whether you had one or more boosters…	1519396550224449536				['78523300']	1.5965221787022991e+18
1596548065665638400	RT @SupportDetrans: yeah the guy who said vaccines cause autism was also a doctor	1474700466395168771				['1511396477293281289']	1.5964494791876444e+18
1596548065908981763	@_ashawndabney I am one of the vaccinated, boosted and Covid free.	721200481	1.2404614538549985e+18		1.5963794220467978e+18	['1240461453854998530']	
1596548066999689216	RT @justin_hart: Your must-read thread today.	107231140				['8349572']	1.5965460756067574e+18
1596548067725316098	RT @PeterObi: The World Bank assessment of poverty in Nigeria in 2022 makes it clear that additional 5.1m Nigerians became poor this year.…	1154077830759747586				['1050779471731707904']	1.5958736206054318e+18
1596548067813203968	RT @elizavetaka: I would like to ask you to RT this. It’s something which just happened to my 41yo friend back in LA. Healthy, dynamic pers…	559696884				['16060054']	1.596387310920405e+18
