tweet_id	text	author_id	in_reply_to_user_id	mentions	quoted	replied_to	retweeted
1596519153937981440	"""We weren’t simply given the eight-hour workday, minimum wage and laws protecting union organizing. They came about after decades of strikes and worker advocacy.""

https://t.co/e0MdBo0KoQ @helaineolen"	541072069		['54731136']			
1596519153984188417	@CDCgov @US_FDA I ended up getting covid because you guys lagged on letting the general population get the second booster. Now you’re lagging again with the only vaccine a huge amount of people would love to get. While cases are going up for the holidays. This is ridiculous. https://t.co/zp8pjRS4ip	1595498294330859520	146569971.0	['146569971', '208120290']	1.5963951889767506e+18		
1596519154261135361	"Want to take a stand for right vs wrong; maybe make a difference for once just by where you spend your money.

I suggest boycotting these companies until further notice for reasons stated in this thread.

They stood w/the left in censoring conservatives and influencing elections. https://t.co/xurcl9REpa"	99813237			1.5962733268756316e+18		
1596519155007725575	@Sunnydaysahea As I mentioned on here time and time again spoke proteins in vaccine travel through circulatory system in the virus they don’t leave the cell unbounded from virion.  The free spins proteins are getting stuck in vessels, junctions and gaps and causing blockage	1401485133522378755	1.482346911994626e+18	['1482346911994626049']		1.5959120493723034e+18	
1596519155326328833	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	945331532738301952		['78523300']			1.5965153365722767e+18
1596519155733241857	Check out today's featured student artwork entitled “Aspire to Be” from the “Hope, Healing and Resilience Through the COVID-19 Pandemic” installation by K.A. of West Windsor-Plainsboro Regional School District. https://t.co/amBoGeYIRC	958079839969447937					
1596519156333318147	RT @JimMillward: This young woman reports very clearly: she makes clear (in Chinese) what Uyghur language info has said: the Urumchi Tiansh…	41656176		['285003303']			1.5965118203821916e+18
1596519156945649664	"RT @RealJamesWoods: “Chestfeed” 

This is from an actual Department of Health. #Madness"	1595585195536793600		['78523300']			1.5965166241938145e+18
1596519157767753730	RT @toadmeister: There's a mountain of evidence that vitamin D helps combat COVID-19, but a new randomised controlled trial claims to find…	20185949		['18809812']			1.5964285912142438e+18
1596519158224912384	"RT @HorangiKrong: ☀️ Be The Sun Bulacan - FREEBIES ☀️

Date: Dec. 17, 2022
Time &amp; Location: TBA
Strictly 1:1

✅ RT + Like
(show us the proo…"	1299324780840058881		['1477611148753391621']			1.5964764021778227e+18
1596519158228738048	RT @tony_zy: One good thing this site actually facilitates: in the past 48 hrs, numerous mini-protests took place across various Chinese co…	574992010		['375133806']			1.5965176444750807e+18
1596519157767569410	"#COVID19 hasn’t gone away.

Protect those around you: try to stay at home if you feel unwell.

#CovidIsNotOver https://t.co/fwuwWqCgCg"	1359068448					
1596519158212075525	"RT @purdyme123: Gift Sets - Avon Parfum Spray Women 1 7oz - https://t.co/59vYqlUUKl
#amazonsbestgiftsets #giftsetsbest #giftsetsbestsellers…"	766731852925120512		['3406827799']			1.5958065067374428e+18
1596519158719868934	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1594141842395856896		['78523300']			1.5965153365722767e+18
1596519158816165891	Daniel Andrews vindicated in Victorian eating contest that became a referendum on his pandemic response	2342447737					
1596519158543425539	"✋ Fieldwire is hiring Senior QA Android Automation Engineer 

🛖 #remote #wfh 
💪 #Android #QA #api #android #kotlin #java 

#tech #softwareengineer #jobs 
https://t.co/sCnwG8hLM8"	1506630582435987462					
1596519159285747716	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	1482434079547183108		['78523300']			1.5965153365722767e+18
1596519159730700289	"@bm______01 Earn money online
Only real people who need money
Money does not invest only Earn income!!
We use it to make $1,000…
Works on all devices including your phone…
Start working from home today.
There are no monthly fees.
… Get more…
❤ 📧 moneynetwork24@gmail.com 📧 ❤"	1510895405487181828	1.5242971334860022e+18	['1524297133486002176']		1.5945110934596936e+18	
1596519161022201856	RT @JimmyRcom: @RetirementRight $AAPL is like 8% of every big index and is fast on its way to $100 after workers rebel and china goes into…	1136370591517290496		['13982522', '910357294109556736']			1.5962101197922632e+18
1596519161047433218	RT @PTIofficial: Chairman PTI @ImranKhanPTI talks about successful covid policy, and steps taken by PTI in economic progress. #حقیقی_آزادی_…	1271731829603778561		['127483019', '122453931']			1.5965181686208307e+18
1596519161907511297	"@IrelandTerrence @RealJamesWoods Data shows vaccinated can still be hospitalized and die.

https://t.co/QNKGXODYL1"	1586727339819470851	1.3223722376058348e+18	['1322372237605834754', '78523300']		1.596516789252653e+18	
1596519162159013888	RT @ChinaUncensored: Protests against Zero Covid allegedly in Guangzhou. https://t.co/kEEb2SIroy	1278516624199311362		['833100331']			1.5961120292696105e+18
1596519162272153601	"✋ Chronicled is hiring Senior Software Engineer 

🛖 #remote #wfh 
💪 #rust 

#tech #softwareengineer #jobs 
https://t.co/2qpV34E3oW"	1506630582435987462					
1596519162750423041	"RT @KieronMoyles: Just a reminder about Matt Hancock.
He wasted millions giving PPE contracts to Michele Mone &amp; his pub landlord.
He sent s…"	2737079921		['124461963']			1.5962593752319508e+18
1596519162691858433	"RT @i_nautilus: Questions a sane person might ask: ""Why can't money wasted on useless PPE not be refunded? If it's faulty or not fit for us…"	335194774		['153490014']			1.5964086592731382e+18
1596519163010244608	RT @david_r_morgan: If you watch any video today, make it this one. Andrew Tate absolutely nails the Covid scam in 90 seconds. 👇 https://t.…	1585961609868066816		['1108431749820882947']			1.5959077993047654e+18
1596519162976796680	"RT @stevenvoiceover: @RealJamesWoods It should always be about choice 

https://t.co/icOQOAOqUb"	1595548939700289538		['1240566579806470144', '78523300']			1.5965166330484122e+18
1596519163819970560	RT @RealJamesWoods: I’ve never commented on the COVID vaccine. I do have questions, however. If you DON’T get the jab, you’ll get zero side…	2838190329		['78523300']			1.5965153365722767e+18
1596519163459244035	"🔥 Zendrive is hiring Software Development Engineer III  

🛖 #remote #wfh 
💪 #iOS #swift 

#tech #softwareengineer #jobs 
https://t.co/0wcOVb6miL"	1506630582435987462					
1596519163488796672	"With the new normal requiring our clients to wear a mask during a service, body treatments are becoming a popular addition to our service menus

https://t.co/YiApuCNrUa
#wellness #wellnessbusiness #spabusiness #fitness #virtualCFO #virtualBookkeeper #wellnesscapital #COVID #masks"	730093324917342209					
1596519165124222976	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	1490629084942155776		['611986351']			1.5961710505467617e+18
1596519164956377089	A costly pre-pandemic expansion helped land Cineworld in bankruptcy. Now streaming and a dearth of blockbusters may seal its fate https://t.co/CnaQ5AaVPR	34713362					
1596519164243775488	"A clinical-grade vaccine could be available in the coming months with clinical trials on humans soon.
https://t.co/mo8zBqRHgP https://t.co/Q98bPHLgPC"	1536773285123215360					
1596519165812432896	RT @Windoctorx: What was the rush to wheel out a vaccine for a virus that carries a 99.7% survival rate in the first place?	1519058788996820992		['909879719734251521']			1.5962996648899707e+18
1596519165514420224	"I want for you to remember  back when Fauci told us to get the vax like he got the vax for measles and mumps in his grade school years ?
DAMN LIES ; these vaccines were not even available until 1963 &amp; 1967 and FAUCI attended grade school in the 40's !"	1586784091868958720					
1596519166223482882	RT @TomJumboGrumbo: Sweet and shy Brie #157119 is another dog who has caught pneumonia in the mismanaged pound - NYCACC kills her anytime.…	24215821		['798054644853407744']			1.5965176470755328e+18
1596519166391250945	RT @NeuroscienceNew: Neuroimaging study reveals significant brain changes in areas associated with language comprehension, cognition, and c…	1453081855641726981		['32302688']			1.5946675029903974e+18
1596519166151999493	"✨ Chronicled is hiring Principal Software Engineer 

🛖 #remote #wfh 
💪 #Backend #javascript #api #kafka #mongodb #elasticsearch 

#tech #softwareengineer #jobs 
https://t.co/RO60n1a84x"	1506630582435987462					
1596519166697439234	RT @sunlorrie: MRIs reveal ‘significant abnormalities’ in the brains of COVID survivors: MRIs found changes in the frontal lobe and brain s…	1431234417046007817		['255340030']			1.5964864097745633e+18
1596519167573856267	RT @Voan_ZoneAD: Heyy cuties! 💖 I hope your quarantine is going well and your staying safe all you lovelies!💙 Here is the 2min version of a…	1216475887069270018		['977642524092325888']			1.250149597202219e+18
1596519167489867778	"✨ Chronicled is hiring Principal Software Engineer 

🛖 #remote #wfh 
💪 #Backend #javascript #go #golang #erlang #sql 

#tech #softwareengineer #jobs 
https://t.co/8aLQUdLmyV"	1506630582435987462					
1596519167707951105	"@viscverity Alert 🚨 Alert 🚨 #COVID is surging world wide 

This new variant is highly transmissible and highly contagious 😷… it’s also hard to detect on the take home test — you may need PCR test … I got hit on Tuesday and I had all the boosters and wore mask 😷 and used Hand Sanitizer"	1108024393941184514	6169902.0	['6169902']		1.596489792442671e+18	
1596519167787954176	Should have always been a choice. https://t.co/Ed2OQt3CEN	1586785357038866434			1.5965153365722767e+18		
1596519168152834049	"RT @hugh_mankind: Australia Quietly Recommends AGAINST ""Updated"" C19 Vaccines

Health Minister Mark Butler said the Australian Advisory Gro…"	1592207599906291715		['256057148']			1.5958830924719555e+18
1596519168345399297	Covid-19 cases continue to hit a record high for third consecutive day in China amid protests over lockdowns https://t.co/lE3Blzxywh	761756733731516417					
1596519168966549504	RT @Heather22311814: @kad_c I'm over the British public who are stupid enough to believe that one man was solely responsible for the action…	1441749912		['1368992887128657923', '496283843']			1.5964317318629335e+18
1596519169393971201	RT @JedediahBila: Mass formation psychosis.	1470527480691834883		['60680268']			1.5965179831190815e+18
1596519169914126341	"Why have public health institutions lost so much credibility?

WA Dept of Health: https://t.co/T0gxtjsyLu"	1224519736358293504			1.5961884750403666e+18		
1596519170090450945	"🔥 Chronicled is hiring Principal Software Engineer 

🛖 #remote #wfh 
💪 #Backend #javascript #kafka #rust #go #golang 

#tech #softwareengineer #jobs 
https://t.co/wLpoFb0fUU"	1506630582435987462					
