tweet_id	text	author_id	in_reply_to_user_id	retweeted	mentions	replied_to	quoted
1596315436450451456	RT @SCOTTeHENSLEY: We developed a new multivalent mRNA vaccine against all known influenza virus subtypes. Our study describing the vaccine…	39099904		1.5961637509602714e+18	['741711336636317697']		
1596315436630802432	RT @juliathrift: 🧵'If you look at a map of child mortality in the 1850s, and mortality during Covid, they are almost the same. This suggest…	355337110		1.5958008168787722e+18	['246982724']		
1596315436706136066	It’s the way the light hit off the wall for me!! Look like you’re serving a 25 to life sentence in lockdown in the state Pen!! I’m not use to this 😳	333149049					
1596315437016702976	"RT @johncardillo: Vaccinated Americans a majority of COVID deaths for first time in August: analysis 

This number will rise. Watch.  https…"	87987858		1.5957426088646164e+18	['27995424']		
1596315436932554753	You do not have to be a fan of Stew Peters to at least after watching, begin to research for yourself. @Forbes would have you trust them or @CNN implicitly while dismissing everything we have found out since the covid vax started killing people.	1518726976131014658	1.5187269761310147e+18		['91478624', '759251']	1.596313059450323e+18	
1596315438111424513	@nathaliejacoby1 I always wear a mask.. I have to protect myself, because everybody else is caughing around and they don't wearing masks...	715767380580909058	1.2804787318748488e+18		['1280478731874848769']	1.5962491281406812e+18	
1596315438165553152	@1PrinceFan1 @Troyel1968 I've always had In the back of my mind that COVID was transmitted by the test swabs...	1520193512876261376	1.2288265881224274e+18		['1228826588122427395', '1519382684044128257']	1.596312168848556e+18	
1596315438555635712	"RT @DrAseemMalhotra: BREAKING:

Sydney cardiologist ( my friend Dr Ross Walker who has read my recent paper) calls for an end to mRNA boost…"	1920807991		1.5958287429407703e+18	['472777204']		
1596315439977857024	my brother has covid, hopefully he spreads it to me	1009384119761960961					
1596315439982055425	"RT @MattFinkes: Doesn't have to do with ""random dude on twitter"" as much as the fact that the ""real leaders of American medicine"" flat out…"	1594488753992916994		1.5953931754384794e+18	['261994280']		
1596315441047212032	RT @MenInBlazers: This is for Birgitta Taylor-Lillquist of the University of Virginia, a GFOP who wrote to us after a the night of darkness…	1518720450637053954		1.5963150498779136e+18	['365603329']		
1596315442049695744	chrisean rock will cause the next pandemic	1239751032370061313					
1596315440640397312	Petition: Launch a Public Inquiry into the approval process for covid-19 vaccines https://t.co/r91Pe2rKnG	14885453					
1596315442523561984	RT @Dylan_Housman: NEW: Emails reveal Fauci and associates were deeply concerned about COVID escaping from the Wuhan lab they had funded in…	1141359246619107328		1.5963047709142262e+18	['2193399722']		
1596315443643531264	"RT @msgenevieve: My body has been through a lot over the covid years.  The pandemic gain got way out of hand a couple of times.

Well, afte…"	1507802789417730053		1.5808842531263242e+18	['5605']		
1596315446550355970	@PierrePoilievre Cancel the tax? How about where did the 500 billion of Covid money go?!?!	186494506	242827267.0		['242827267']	1.5963099950918205e+18	
1596315448660099072	RT @EricMMatheny: You were told if you got these vaccines you weren’t going to get covid. That the virus stops with the vaccinated. If you…	1557572395099074560		1.5961510243180257e+18	['2730264319']		
1596315449473761281	"RT @DrJohnB2: Multiple sclerosis (MS) after hepatitis B vaccination.
A case report -&gt; https://t.co/j7piIlpypn
""We would like to emphasize t…"	1464793732428013570		1.5962223765971395e+18	['1400013985202704385']		
1596315450614648832	"RT @ChGefaell: EUROPE Excess Deaths from June 26 to Nov 20, 2022:
Higher Excess than in 2020 and 2021, and higher Non Covid excess deaths t…"	1440482023693381634		1.5958995430060933e+18	['1264251436717821952']		
1596315450652397568	"RT @TPostMillennial: Tucker Carlson SLAMS Biden for failing to address the rising cost of energy in America:

""High energy prices will crus…"	1447569393056157704		1.5963145993638625e+18	['896731633704947712']		
1596315451822608384	RT @MemeOfTheMoment: Why is it always the ones who have the  RESIST hashtag in their bios are the ones calling for all kinds of Governmenta…	1499684802483658756		1.596311622884397e+18	['1499684802483658756']		
1596315452082655232	@kyle_minogue Could be that so many had Covid recently we gotta wait a bit. I got 2 months till I get my bivalent.	330096809	2845722575.0		['2845722575']	1.5961567714622546e+18	
1596315452761776128	RT @SteveDeaceShow: Let’s put him on a Nuremberg-like trial with Nuremberg-like punishments, and see if he remembers then.	1552758684777795584		1.596134325912748e+18	['177564016']		
1596315453173137409	RT @TBlumenthal77: @sexytori17 Actually recently I looked it up.. at least 79.5 percent of Americans have had at least one vaccine. So yes…	2901793281		1.5962166735597158e+18	['1587678092822081537', '1257572576869576704']		
1596315454628188160	great stuff https://t.co/81ahxLevkm	574633254					1.5963150498779136e+18
1596315455236755457	"RT @morethanmySLE: If you are still wearing a mask to protect yourself &amp; others from Covid, please reply with 😷

😷😷😷😷😷😷😷😷"	98062526		1.5962829343525765e+18	['812361923304034304']		
1596315455538413569	RT @RisetteMD: Just remembering one of the saddest moments in my life was when, at the end of a three week stretch working during the Delta…	172496995		1.5958477944677827e+18	['1549164560204038144']		
1596315455379087362	This is the craziest thing about @twitter . The live video feeds of stuff you will never see or hear anywhere else https://t.co/p2Vc8CXNUZ	1128736152771551232			['783214']		1.5962573958143222e+18
1596315456335667200	RT @ANI: China reports 32,943 new COVID cases on Nov 24 vs 31,656 a day earlier, reports Reuters	197664611		1.595986497383301e+18	['355989081']		
1596315456000135168	RT @RobertKennedyJr: After analyzing more than 7 years of Massachusetts death certificates, independent investigator John Beaudoin, Sr., un…	1349423731354062851		1.595173745165013e+18	['337808606']		
1596315456914087937	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	3850807153		1.596231410502738e+18	['1577761560394665984']		
1596315458084667392	RT @jasmith_yorku: The look I make when managers tell me that simply asking people to mask will make a difference to all those kids in hosp…	3956879655		1.596262046018175e+18	['3298227152']		
1596315458697072640	"RT @DrJBhattacharya: ""Emily Jo was never warned of the myocarditis risk or informed about the risk-benefit profile. “When I took Aiden to g…"	827502034295410688		1.596200183297024e+18	['1427361863830949908']		
1596315458931752965	"RT @PierreKory: Poor woman dies 7 minutes after her booster… while still in the drugstore.  

Article states that the Coroner concluded tha…"	27168037		1.5962960706858967e+18	['2163723997']		
1596315459221327872	RT @BernieSpofforth: CHINA - 100 million people now back in lockdown, QR codes turned red by the State to prevent any movement, unless it’s…	23509932		1.5960426335535186e+18	['755135678422327296']		
1596315459330056194	RT @TheRickyDavila: What I find fascinating about Hunter Biden is that slumlord Jared Kushner was paid $2B for selling them intel whilst al…	14184492		1.596239080152408e+18	['341190477']		
1596315460467064833	"@CTVNews ""Safe and effective"" is the real vaccine misinformation.

Does the #Toad @JustinTrudeau feel any remorse for the harms he caused by spreading this misinformation?"	942394227908112384	203123011.0		['203123011', '14260960']	1.5962480037650596e+18	
1596315461238796288	@MightWindYouUp @SethDillon I’m not vaxxed and I’ve been directly exposed three times! Never got it 98% of the people I know that got the vax got Covid	1579844974732259328	1.4998666038563512e+18		['1499866603856351232', '31700619']	1.5959660555410022e+18	
1596315461888901120	"RT @Writagal: Ten things to know today if you have Covid:
1.) Rest - rest as in inert, as in don’t move.
Don’t get off the couch, don’t eng…"	16218485		1.5962137948414525e+18	['231364919']		
1596315462417416192	RT @flyybyme: @TIME Africa has only vaccinated 6 percent of the population and they do not have a covid issue. Give it a rest	1585819327625920513		1.596295176359932e+18	['1378674472903962624', '14293310']		
1596315463394492418	RT @joeolivermd: Kids are testing positive for Influenza + RSV at the same time. Probably also Covid. Now would be a superb time to get you…	287545295		1.5962860168426988e+18	['1089917743275667457']		
1596315463541456896	"RT @WallStreetSilv: A new quarantine camp is being built in China's Guangzhou city and designed to detain 87,000 people. 

If authorities s…"	387529659		1.5958062644869448e+18	['1366565625401909249']		
1596315463809929217	"@ShopprsDrugMart You know this is happening!

https://t.co/ZAy2rIpHmV"	1708158962	35259973.0		['35259973']	1.5591856284362588e+18	
1596315464824721409	RT @steve_cureton: The thing is with this Mone corruption..someone knew, a few someone's..so who? and they were hoping we wouldn't find out…	302581235		1.5962781661125673e+18	['2373784386']		
1596315465324040192	RT @woofmelb: #Flashback Rochelle Walenksy &amp; #CDC lying to push fraudulent #Pfizer and #Moderna #mRNA '#Vaccines' into younger children. Th…	16732283		1.5962951649136476e+18	['244507428']		
1596315465856393217	"RT @W1nston984: “Go get the vaccine!” they scream. “It’ll protect you forever” they said.

It was all a lie. You’ve been poisoned. #covid #…"	1519133468185276417		1.5960285932092334e+18	['1457337469649752071']		
1596315466431344640	@scotiabot How are they allowing people to visit Covid+? It makes zero sense. I know they said he's not contagious, but they know he is. NS made it very clear 2 years ago that asymptomatics spread Covid (that's why anyone coming into the province had to isolate, not only symptomatics).	1277432929837252608	1.382168123420332e+18		['1382168123420332034']	1.5963127272111186e+18	
1596315466519449601	First cold in 3 years. Negative Covid PCR test, yet I still keep doing rapids as I navigate the holiday weekend. Still negative. Happy for just a cold, but the paranoia is so weird. #timeswelivein	6755772					
1596315466888200192	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	2190746571		1.5962870273011876e+18	['806344552718045184']		
1596315467689635840	"RT @PaulMitchell_AB: The Alberta government has new regulations that...

1) Ensure in-person learning for grade 1 to 12 students,

and

2)…"	899828386532442112		1.5960040385330831e+18	['1069697383829651456']		
1596315468276850688	RT @sexytori17: We're nearly 3 years into this pandemic, supposedly 70% of the population is jabbed , most everyone has caught covid regard…	1488337682379980800		1.596038246554751e+18	['1257572576869576704']		
1596315468041945088	@theJagmeetSingh Says the guy who supported turfing workers for their own personal health decisions	271715572	253340075.0		['253340075']	1.5962020582599311e+18	
1596315468734029824	"RT @TPostMillennial: Tucker Carlson SLAMS Biden for failing to address the rising cost of energy in America:

""High energy prices will crus…"	1586129166071644160		1.5963145993638625e+18	['896731633704947712']		
1596315470008762368	RT @fattyboy2116: Buena noche 🌙🌆🌛 gente yegando de trabajar y caliente y no aguante sacar la leche 🍼😋 disfruten su noche de jueves. Good ni…	1466845744648929293		1.5959648737998602e+18	['1243676563675193344']		
1596315470080409600	@olafapijl @StopAntisemites Yes agreed, but we have a poverty pandemic that is rooted in a system created to keep people poor and on edge of survival. It’s easy to breed this hard when parents are disenfranchised. It doesn’t take much to rile up people when they come from shitty homes.	810160580350902276	222586610.0		['222586610', '1048229681273741312']	1.5962716308962304e+18	
1596315470483050496	"RT @K2theChad: @akheriaty @AaronSiriSG Tragic irony: VSafe software engineer died suddenly a few weeks after his j@b:

https://t.co/8Eou3hf…"	1186013939118804992		1.5959108961566597e+18	['561782306', '54322957', '1446256675808186384']		
1596315470696632321	"RT @missykender: @maosbot Why don't people understand, that after the FIRST infection, they ARE immunocompromised?

That COVID kills and da…"	2821500076		1.5962720396814582e+18	['45214107', '2601869406']		
1596315471157993472	RT @cnnphlife: #AnInconvenientLove  starring @donnypangilinan and @bellemariano02 captures the social isolation and the need for independen…	1450010827457589248		1.5963002004689633e+18	['705603729899130880', '43510227', '4309080438']		
1596315471925870593	PANDEMIC TREATY UPDATE, by @jamesroguski https://t.co/yZu3MdM0UT	89034850			['75350824']		
1596315473691672576	"I have got to ask this about the COVID-19 ""deaths"" - WHY WERE THE NUMBERS OF INFLUENZA DEATHS NOT REPORTED WHILE COVID DEATHS WERE?

Anyone got an answer - I'll wait!"	1228397642364813312					
1596315474370797571	RT @cnnphlife: #AnInconvenientLove  starring @donnypangilinan and @bellemariano02 captures the social isolation and the need for independen…	1413382521320923140		1.5963002004689633e+18	['705603729899130880', '43510227', '4309080438']		
1596315476178657281	@Chesschick01 1 month into the pandemic. I caught covid right at the start, Delta strain. Vaxx's weren't even invented. Got sick on friday, flu like symptoms all weekend. Rest and soup, back to work on Monday fine. Then the whole world freaked out. I was a middle aged smoker and drinker too.	1426035739406520320	36134346.0		['36134346']	1.596216988145025e+18	
1596315476401045505	"RT @awkward_1110: Picante💜4y
#NYCACC #157114 
🚑 PNEUMONIA 🚑
Her human died😰no-one else loves her😱She can’t do it alone
Sad TERRIFIED😥trying…"	212767788		1.596193589620609e+18	['3323309554']		
1596315477172957184	@NathanDahm There's still no moratorium on vaccine mandates by employers in OK. I mostly support Stitt, but his lack of action on this is hurting people.	1587315650866941953	40406009.0		['40406009']	1.5963136319682191e+18	
1596315477323972608	@yweldon Actually it has to do with Sunrise being next door. There was a meeting prior to covid about moving the services and promises were made to the PTA. Also a lot of money was spent to update the school around that same time. Feel free to DM me.	24976633	24976633.0		['31084050']	1.596310918056489e+18	
1596315477407862785	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	818082561792602112		1.596231410502738e+18	['1577761560394665984']		
1596315478393180161	RT @Duanemurphy12: @CTVNews Pfizer's vaccine partner biontech admitted to their shareholders this 👇👇 https://t.co/VmE1U0czGB	1327549719539634176		1.596292456315863e+18	['843032922596802560', '203123011']		
1596315478535856129	RT @denisrancourt: Boom! Mike Yeadon is a treasure, a gift to the world.	1427987176923537423		1.5959600837748326e+18	['20340705']		
1596315478909411328	RT @WebMD: People with respiratory disorders (like asthma, COPD, sinusitis, or allergies) or who may be dealing with long-term effects of C…	16088890		1.596315304397009e+18	['25928253']		
1596315478833725440	RT @songpinganq: JUST IN - More than 10 people (many said it's 20) were burnt alive in China's Urumqi city's brutal COVID lockdown last nig…	608508474		1.596056074267906e+18	['1374317368361447434']		
1596315479353819136	RT @DrewPavlou: Innocent Uyghur families burned to death today because China’s insane COVID Zero policies meant all exits to their apartmen…	1508197335481950221		1.5963115729260503e+18	['1133510366422392833']		
1596315479655993344	"#D4DJ #LyricalLily
Oh Wait, Amanesu has been Covid, Right? 🙏 https://t.co/on0Gr2JX9g"	1424218718934953989					
1596315480293253121	"RT @MyBoxerLuvMac1: 💔Snoopy💔
#NYCACC #157851 9m
▪️To Be Killed: 11/29💉
▪️Pneumonia
▪️Can be killed anytime if condition worsens!
Amazing pu…"	829865201801510912		1.5962322229522924e+18	['1214648962491269125']		
1596315481073336320	RT @normboy562: I survived Covid thanks to @DanielAndrewsMP his Labor government and Brett Sutton.. The #VicLibTrashParty its leader and AL…	542224019		1.5962271529069486e+18	['1038970825699774465', '228535666']		
1596315481371447297	"RT @MeetJess: We have to realize that 2019 life isn’t coming back. COVID will be with us for many years. 
« Living with it » for me means f…"	1355227746398564352		1.5962674021359985e+18	['312412918']		
1596315481992224770	RT @BodyRubsOKC: #Thankful for each and every client who has brought me friendship, companionship, smiles, laughter, financial help, and in…	1474083334242328577		1.5962617269656207e+18	['1164828077140037634']		
1596315481916440576	We are all trying to share the truth about covid. https://t.co/vShtAlXjUR	992426621402411009					1.4222595851931812e+18
1596315482172588032	"RT @DiedSuddenly_: After the release of #DiedSuddenly, the Health Organizations have been forced to respond. 

Their response? 

It’s not t…"	1548038342737989632		1.596231410502738e+18	['1577761560394665984']		
1596315482579034112	RT @Kelly078452735: I’m asking for all prayers for my beautiful cousin Sabrina she has been in the hospital for 2 weeks with pneumonia on o…	1142616099776630784		1.5959153637491057e+18	['1485439042602684422']		
1596315483720273920	"RT @TPostMillennial: Tucker Carlson SLAMS Biden for failing to address the rising cost of energy in America:

""High energy prices will crus…"	1532660222115958784		1.5963145993638625e+18	['896731633704947712']		
1596315484370223107	@VictorMacNamar2 @Outside1791 @darsi_salmon @shipwreckedcrew how many variants of the covid virus exist, answer that before running away	325016010	1.5933292631424737e+18		['1593329263142473732', '1514280037956132865', '993827558172119046', '18034061']	1.5962817823198618e+18	
