tweet_id	text	author_id	in_reply_to_user_id	replied_to	mentions	retweeted	quoted
1596531812834373633	@RealJamesWoods A very respected British medical information resource published this: https://t.co/RoWoomSc7B	1590101459403771909	78523300.0	1.5965153365722767e+18	['78523300']		
1596531813370847232	"@elaine77_04 @Liberty9001 @HackedOffHugh Yet MPs gave themselves £10k to work from home in the pandemic and have effectively had a 28% pay increase since Jan 2020.
Now we're buying their fucking Christmas decorations.
It's time for pitchforks outside Westminster which is why they're hastily passing anti protest bills"	1585984183528292353	41840124.0	1.59652889686195e+18	['41840124', '2925980703', '914588454']		
1596531813517770753	"RT @WallStreetSilv: Another massive quarantine camp is being built in China’s Guangzhou city, which can detain 70,000 people.

The Chinese…"	1459653087455502340			['1366565625401909249']	1.5965287233352212e+18	
1596531813656461313	"RT @FreedomWarden: Disclosure:

Masks do not protect against the MSM Virus."	1493085433068089345			['1547646887825592321']	1.5965191267340984e+18	
1596531814361104390	RT @arnohb112: Lessons learned from #HongKong 😉 #StandWithHongKong🇩🇪❤️🇭🇰 #Chongqing https://t.co/sLi3OA2ai5	1329215021641961472			['776126255309676544']	1.5962238554751754e+18	
1596531814616768513	@RealJamesWoods Our government has spent more time forcing people to get vaxxed and than investigating the origins of COVID. Enough said	815777577096937472	78523300.0	1.5965221787022991e+18	['78523300']		
1596531814629531648	@shallit43 @Bobupanddown2 @consequencerisk People mistakenly avoided other precautionary measures as they felt they couldn't get infected, as well as thought they couldn't spread covid. Some people in this same group attack opposing views as being unscientific and uneducated.	1493895659736371204	1.4938956597363712e+18	1.59653117204958e+18	['63827798', '1046905842228957184', '4850259063']		
1596531816198189056	"RT @DGSagar2: @PMOIndia Mahasatyagraha 4 Covid Relief 
#UPSCExtraAttempt2023
#ExtraAttemptForAll 
Please Help to Covid19 affected UPSC CSE…"	1341423299302047746			['1507278019735728128', '471741741']	1.5964479314684232e+18	
1596531816927838208	"RT @songpinganq: JUST IN - Chinese iPhone factory workers in Zhengzhou city are tearing down the COVID test sites now!

https://t.co/Wj6R1c…"	38554344			['1374317368361447434']	1.595389081013424e+18	
1596531818177908736	RT @prof_freedom: Thanks to @elonmusk, some great Covid accounts &amp; scientists will soon be making their Twitter comeback. Here's a list of…	1463233981105774595			['1252542024299012097', '44196397']	1.596502738170364e+18	
1596531818249191425	RT @scotgov: If you’re aged 16 and over with an eligible health condition, you’re now being offered the flu and COVID-19 vaccines.	4171790482			['46650770']	1.590856841470288e+18	
1596531817435529216	New story on NPR: Xinjiang loosens some restrictions after anti-lockdown protests https://t.co/GDAis0e4dX https://t.co/PWOG1iEQe0	1342726038					
1596531819272249344	RT @MeetJess: “One of the most important lessons from Omicron, Delta, from this entire pandemic, is that we have to think about ‘we’, and n…	29154286			['312412918']	1.5964904821877514e+18	
